timestamp,type,data
35126.08,TRIAL_START,In sharp contrast to your words.
35281.07,GAZE,0.006471306;-0.2122013
35303.21,GAZE,0.01445091;-0.2188069
35326.34,GAZE,0.01784981;-0.221446
35335.6,GAZE,0.01916283;-0.2256194
35349.5,GAZE,0.01990761;-0.2230841
35363.9,GAZE,0.02004622;-0.2231175
35377.67,GAZE,0.01853053;-0.2213259
35391.51,GAZE,0.01704741;-0.2208804
35405.43,GAZE,0.0150498;-0.2201421
35429.32,GAZE,0.01504991;-0.2201421
35447.17,GAZE,0.01369437;-0.2205174
35460.79,GAZE,0.01386987;-0.2207122
35474.45,GAZE,0.01407314;-0.2205789
35488.15,GAZE,0.01425671;-0.2203985
35502.82,GAZE,0.0140337;-0.2204373
35516.04,GAZE,0.01347815;-0.2207151
35529.46,GAZE,0.01302061;-0.2210559
35543.94,GAZE,0.01278884;-0.2212796
35558.53,GAZE,0.01276997;-0.2212385
35572.68,GAZE,0.0127367;-0.2211389
35586.28,GAZE,0.01272549;-0.2211174
35600.3,GAZE,0.01272339;-0.2211296
35614.22,GAZE,0.01272338;-0.2212274
35627.53,GAZE,0.01278542;-0.2213428
35641.69,GAZE,0.01284754;-0.2213811
35656.46,GAZE,0.01263549;-0.2213134
35669.66,GAZE,0.01211488;-0.2210956
35684,GAZE,0.01152525;-0.2209218
35697.66,GAZE,0.0105633;-0.2205326
35711.96,GAZE,0.01001911;-0.2201629
35725.85,GAZE,0.008510418;-0.219035
35739,GAZE,0.007494804;-0.2182106
35753.63,GAZE,0.007032699;-0.2177802
35767.32,GAZE,0.006486481;-0.2180416
35780.96,GAZE,0.006486589;-0.2180413
35794.63,GAZE,0.005761412;-0.226815
35808.93,GAZE,0.005747631;-0.222707
35823.63,GAZE,0.01092249;-0.2336827
35837.58,GAZE,0.01693563;-0.243396
35851.17,GAZE,0.03002813;-0.2510715
35865.59,GAZE,0.04833607;-0.2562864
35878.79,GAZE,0.09448971;-0.2606038
35892.08,GAZE,0.05138735;-0.2525399
35906.96,GAZE,0.07678795;-0.2548704
35920.87,GAZE,0.126661;-0.2558001
35934.4,GAZE,0.01315038;-0.2290811
35949.02,GAZE,0.01294984;-0.2276655
35962.76,GAZE,0.00923492;-0.2253937
35976.62,GAZE,0.008751273;-0.2239315
35990.55,GAZE,0.008314535;-0.2224971
36004.55,GAZE,0.03859761;-0.231535
36019.63,GAZE,0.02429703;-0.2372165
36032.54,GAZE,0.01944259;-0.2449518
36045.74,GAZE,-0.006647021;-0.2600685
36060,GAZE,-0.005206815;-0.2433515
36073.54,GAZE,-0.001890799;-0.2494886
36086.67,GAZE,0.0069174;-0.2564312
36101.31,GAZE,0.007856563;-0.2296146
36115.78,GAZE,0.009270847;-0.2323555
36129.79,GAZE,0.01447232;-0.2362365
36143.27,GAZE,0.01595782;-0.239726
36158.04,GAZE,0.01848917;-0.24216
36172.61,GAZE,0.02399325;-0.2459293
36185.17,GAZE,0.02402806;-0.2468731
36198.82,GAZE,0.02188294;-0.2469637
36212.7,GAZE,0.02811953;-0.2487758
36227.52,GAZE,0.03797182;-0.2502148
36240.71,GAZE,0.05454291;-0.2508445
36255.38,GAZE,-0.001272365;-0.2285675
36269.12,GAZE,0.0005547404;-0.2264823
36283.09,GAZE,0.002005026;-0.2254797
36296.3,GAZE,0.0031766;-0.2252731
36310.81,GAZE,0.003316805;-0.2250578
36325.5,GAZE,0.003028929;-0.2251764
36337.93,GAZE,-0.001114173;-0.2466085
36351.05,GAZE,-0.004175708;-0.2474061
36365.55,GAZE,-0.007823217;-0.2481035
36379.04,GAZE,-0.01071317;-0.2487898
36393.93,GAZE,-0.01252392;-0.2494046
36407.83,GAZE,-0.01070694;-0.2491657
36421.23,GAZE,-0.01290936;-0.2492483
36435.23,GAZE,-0.01032369;-0.2496372
36449.46,GAZE,-0.01104624;-0.2494479
36463.44,GAZE,-0.01345802;-0.2497455
36477.27,GAZE,-0.01490699;-0.2499268
36491.01,GAZE,0.006067425;-0.2390234
36506.55,GAZE,0.01032408;-0.2413663
36519.54,GAZE,0.01721221;-0.247408
36533.82,GAZE,0.0176452;-0.2479167
36547.04,GAZE,0.010251;-0.2452787
36560.98,GAZE,0.004430652;-0.2423861
36575.38,GAZE,0.0005248934;-0.2384133
36589.22,GAZE,-0.000144884;-0.2336564
36602.88,GAZE,-0.0008057803;-0.2293769
36616.66,GAZE,-0.000183776;-0.2273457
36630.66,GAZE,0.0004704148;-0.2267451
36644,GAZE,0.0006179363;-0.2272542
36658.03,GAZE,0.0003862977;-0.2277226
36672.23,GAZE,-0.0003185123;-0.2294028
36685.54,GAZE,-0.000685975;-0.2298699
36699.29,GAZE,-0.001034856;-0.2316813
36713.48,GAZE,-0.00216873;-0.2339613
36727.4,GAZE,-0.002990648;-0.2364726
36741.3,GAZE,-0.003718272;-0.2369022
36755.59,GAZE,-0.003553256;-0.2362249
36769.42,GAZE,-0.003434598;-0.2353336
36783.64,GAZE,-0.004212976;-0.2345282
36796.81,GAZE,-0.006089091;-0.2334587
36810.68,GAZE,-0.007756844;-0.2320561
36824.67,GAZE,-0.009722471;-0.2296498
36839.72,GAZE,-0.04672024;-0.2495069
36852.3,GAZE,-0.03978408;-0.2375025
36865.52,GAZE,-0.07511723;-0.2427757
36880.27,GAZE,-0.05610988;-0.2124592
36894.17,GAZE,-0.03448388;-0.1804376
36909,GAZE,-0.0401873;-0.146208
36923.2,GAZE,-0.05225185;-0.1319833
36937.22,GAZE,-0.06075937;-0.1431397
36951.47,GAZE,-0.07340327;-0.1575011
36964.35,GAZE,-0.08651233;-0.1814933
36978.87,GAZE,-0.06349805;-0.2484107
36992.42,GAZE,-0.05587488;-0.2655033
37006.73,GAZE,-0.03086463;-0.280894
37020.25,GAZE,0.00374744;-0.2581898
37033.91,GAZE,0.007366327;-0.2634446
37047.96,GAZE,0.01109352;-0.2687632
37062.03,GAZE,0.01057415;-0.2359912
37075.99,GAZE,-0.009865995;-0.2511605
37090.1,GAZE,-0.01563922;-0.242849
37103.73,GAZE,-0.0533146;-0.2599885
37117.11,GAZE,-0.06175956;-0.2539081
37131.27,GAZE,-0.0688765;-0.242157
