timestamp,type,data
42840.92,TRIAL_START,Sprawling subdivisions are bad.
42992.98,GAZE,-0.01616389;-0.2205784
43006.55,GAZE,-0.01574434;-0.2226069
43019.59,GAZE,-0.01512162;-0.2240643
43033.99,GAZE,-0.01402974;-0.2253531
43052.95,GAZE,-0.01242834;-0.2261205
43061.8,GAZE,-0.01176496;-0.2265467
43082.74,GAZE,-0.0114826;-0.2261548
43100.7,GAZE,-0.01209725;-0.2254239
43118.74,GAZE,-0.01231715;-0.2253211
43131.77,GAZE,-0.01236024;-0.2253321
43146.37,GAZE,-0.01228066;-0.2254804
43159.54,GAZE,-0.01196395;-0.2256788
43175.02,GAZE,-0.01128291;-0.2260625
43188.14,GAZE,-0.0097249;-0.2268659
43201.63,GAZE,-0.008701563;-0.227609
43215.96,GAZE,-0.007662356;-0.2285597
43229.64,GAZE,-0.006642118;-0.2296827
43242.93,GAZE,-0.005844966;-0.2306349
43258.19,GAZE,-0.005458653;-0.2310499
43271.11,GAZE,-0.005413026;-0.2312051
43285.05,GAZE,-0.005559504;-0.2312421
43298.3,GAZE,-0.005988732;-0.2310123
43312.73,GAZE,-0.006233379;-0.2306985
43326.93,GAZE,-0.006326497;-0.2305059
43341.55,GAZE,-0.006340325;-0.2304002
43354.16,GAZE,-0.006318271;-0.2303919
43369,GAZE,-0.006285101;-0.2304177
43383.16,GAZE,-0.006279767;-0.2304306
43396.57,GAZE,-0.006279826;-0.2304306
43410.46,GAZE,-0.00627996;-0.2304308
43424.72,GAZE,-0.006274074;-0.2304452
43438.07,GAZE,-0.006324738;-0.2304647
43451.99,GAZE,-0.006396994;-0.2304602
43465.89,GAZE,-0.006522641;-0.2304567
43480.01,GAZE,-0.006569102;-0.2304318
43493.82,GAZE,-0.006569177;-0.2304318
43508,GAZE,-0.006569237;-0.2304318
43522.36,GAZE,-0.006818041;-0.230424
43535.92,GAZE,-0.006970271;-0.2305738
43550.09,GAZE,-0.006976992;-0.2305819
43563.06,GAZE,-0.00705874;-0.2306603
43577.55,GAZE,-0.00721176;-0.2306025
43591.2,GAZE,-0.00734742;-0.2305834
43605.26,GAZE,-0.007687867;-0.2304798
43618.63,GAZE,-0.007969573;-0.2303805
43633.55,GAZE,-0.008188143;-0.2302639
43647.38,GAZE,-0.008274123;-0.2302284
43660.66,GAZE,-0.008641258;-0.230054
43675,GAZE,-0.008641317;-0.230054
43688.77,GAZE,-0.008760139;-0.2300113
43702.88,GAZE,-0.01083802;-0.2293104
43716.44,GAZE,-0.01262969;-0.2285536
43730.78,GAZE,-0.01354936;-0.2282081
43744.67,GAZE,-0.01419416;-0.227965
43759.01,GAZE,-0.01750469;-0.2257906
43772.67,GAZE,-0.07731088;-0.2326506
43786.13,GAZE,-0.072684;-0.2184684
43800.55,GAZE,-0.1301067;-0.1846239
43814.97,GAZE,-0.08129913;-0.1650327
43828.89,GAZE,-0.05166578;-0.1487895
43842.45,GAZE,-0.01489407;-0.1381612
43856.57,GAZE,0.005974025;-0.1409668
43869,GAZE,0.0211083;-0.1597875
43884.09,GAZE,0.01655558;-0.1843114
43897.97,GAZE,0.008962572;-0.2084565
43912.44,GAZE,0.0128687;-0.2268679
43927.38,GAZE,0.03336379;-0.2371959
43940.41,GAZE,0.04468647;-0.2446273
43953.33,GAZE,0.05602548;-0.2520203
43967.7,GAZE,0.06529266;-0.2618341
43982.41,GAZE,0.01701726;-0.2275511
43995.02,GAZE,0.01881292;-0.2295628
44010,GAZE,0.02077447;-0.2316751
44023.03,GAZE,0.02290595;-0.2338535
44037.08,GAZE,0.01592939;-0.2314885
44050.8,GAZE,0.008735538;-0.2256504
44064.77,GAZE,0.008301392;-0.226094
44079.29,GAZE,-0.01942927;-0.2227034
44093.05,GAZE,-0.02139158;-0.2211504
44106.94,GAZE,-0.02640267;-0.2207084
44120.79,GAZE,-0.03054312;-0.2169521
44134.27,GAZE,-0.09100804;-0.1987763
44148.31,GAZE,-0.07351419;-0.1751915
44162.73,GAZE,-0.023619;-0.150307
44176.62,GAZE,0.002583981;-0.1389803
44191.28,GAZE,0.03427428;-0.1345185
44205.32,GAZE,0.0581398;-0.1378003
44219,GAZE,0.078538;-0.1515499
44236.16,GAZE,0.07477203;-0.1595609
44249.55,GAZE,0.06907091;-0.171071
44263.79,GAZE,0.09085649;-0.1779099
44282,GAZE,0.1162739;-0.1856318
44291.33,GAZE,0.1291934;-0.1889488
44303.01,GAZE,0.1475266;-0.2008097
44314.47,GAZE,0.1614282;-0.2050251
44328.9,GAZE,0.1244453;-0.2065196
44343.27,GAZE,0.05235459;-0.2126776
44356.7,GAZE,0.0504406;-0.2142739
44370.88,GAZE,0.03466156;-0.2124675
44384.78,GAZE,0.02805754;-0.2119882
44398.54,GAZE,0.04278401;-0.1942191
44413.24,GAZE,0.04197672;-0.1910778
44427.27,GAZE,0.03992972;-0.1916153
44442.12,GAZE,0.04111463;-0.1931315
44455.51,GAZE,0.03986305;-0.1962003
44468.42,GAZE,0.03932965;-0.1978617
44483.61,GAZE,0.0395624;-0.198395
44496.61,GAZE,0.04410776;-0.1982765
44510.91,GAZE,0.0442805;-0.1985441
44525.19,GAZE,0.04378456;-0.2000961
44538.97,GAZE,0.04279086;-0.2005767
44552.2,GAZE,0.0406085;-0.2005076
44566.04,GAZE,0.03761622;-0.2012405
