timestamp,type,data
64540.62,TRIAL_START,a steep learning curve in riding a unicycle
64555.09,CTX_POS,Current;0.642911;2.934456;1.048102;-0.01623604;0.9978119;-0.06409319;0.9781225;0.002554145;-0.208014;0.2073951;0.06606831;0.9760237
64555.09,KEY_POS,Key_Q;Q;Current;0.06451613;0.06451613;-0.3870968;-0.1419355;Key_W;W;Current;0.06451613;0.06451613;-0.2903226;-0.1419355;Key_E;E;Current;0.06451613;0.06451613;-0.1935484;-0.1419355;Key_R;R;Current;0.06451613;0.06451613;-0.09677419;-0.1419355;Key_T;T;Current;0.06451613;0.06451613;0;-0.1419355;Key_Y;Y;Current;0.06451613;0.06451613;0.09677419;-0.1419355;Key_U;U;Current;0.06451613;0.06451613;0.1935484;-0.1419355;Key_I;I;Current;0.06451613;0.06451613;0.2903226;-0.1419355;Key_O;O;Current;0.06451613;0.06451613;0.3870968;-0.1419355;Key_P;P;Current;0.06451613;0.06451613;0.483871;-0.1419355;Key_A;A;Current;0.06451613;0.06451613;-0.3387097;-0.2387097;Key_S;S;Current;0.06451613;0.06451613;-0.2419355;-0.2387097;Key_D;D;Current;0.06451613;0.06451613;-0.1451613;-0.2387097;Key_F;F;Current;0.06451613;0.06451613;-0.04838708;-0.2387097;Key_G;G;Current;0.06451613;0.06451613;0.04838711;-0.2387097;Key_H;H;Current;0.06451613;0.06451613;0.1451613;-0.2387097;Key_J;J;Current;0.06451613;0.06451613;0.2419355;-0.2387097;Key_K;K;Current;0.06451613;0.06451613;0.3387097;-0.2387097;Key_L;L;Current;0.06451613;0.06451613;0.4354839;-0.2387097;Key_Z;Z;Current;0.06451613;0.06451613;-0.2903225;-0.3354839;Key_X;X;Current;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_C;C;Current;0.06451613;0.06451613;-0.09677416;-0.3354839;Key_V;V;Current;0.06451613;0.06451613;2.980232E-08;-0.3354839;Key_B;B;Current;0.06451613;0.06451613;0.09677422;-0.3354839;Key_N;N;Current;0.06451613;0.06451613;0.1935484;-0.3354839;Key_M;M;Current;0.06451613;0.06451613;0.2903226;-0.3354839;Key_';';Current;0.06451613;0.06451613;0.3870968;-0.3354839;Key_.;.;Current;0.06451613;0.06451613;0.483871;-0.3354839;Candidate_1;;Current;0.2129032;0.06451613;-0.4258064;0.1483871;Candidate_2;;Current;0.2129032;0.06451613;-0.1806452;0.1483871;Candidate_3;;Current;0.2129032;0.06451613;0.06451613;0.1483871;Candidate_4;;Current;0.2129032;0.06451613;0.3096774;0.1483871;Candidate_5;;Current;0.2129032;0.06451613;0.5548387;0.1483871;Backspace;←;Current;0.2129032;0.06451613;0.5548387;0.05161288;textField;---;Current;1;1;0;0.25;textReference;---;Reference;1;1;0;0.3
64569.06,GAZE,0.5209727;0.09583676;1.15093;3.031414;0.9335901;0.3769906;2.88214;0.04036685;0.476426;2.892735;0.040949;-0.0293242;0.2216523;0.9746847;-0.0293242;0.2216523;0.9746847
64588.71,GAZE,0.5212268;0.09569202;1.151181;3.03127;0.9335465;0.3766008;2.881939;0.04036583;0.4760338;2.892545;0.0411287;-0.0310111;0.2206059;0.9748699;-0.0310111;0.2206059;0.9748699
64596.37,GAZE,0.5208876;0.09612489;1.150842;3.031701;0.9335894;0.3763236;2.881839;0.04037362;0.4757497;2.89249;0.04137396;-0.0333291;0.2195342;0.9750353;-0.0333291;0.2195342;0.9750353
64610.66,GAZE,0.5210224;0.09665357;1.150965;3.032229;0.9335274;0.3760798;2.881628;0.04042326;0.4754949;2.892365;0.04159287;-0.03511416;0.2189163;0.9751116;-0.03511416;0.2189163;0.9751116
64631.17,GAZE,0.522103;0.09682116;1.15202;3.032399;0.9332919;0.3759681;2.881565;0.04052301;0.4753703;2.892401;0.0418587;-0.0369322;0.218586;0.9751185;-0.0369322;0.218586;0.9751185
64640.07,GAZE,0.522011;0.09603768;1.151942;3.031617;0.9333612;0.3757219;2.881527;0.04063155;0.4751164;2.892416;0.04210305;-0.03834172;0.2181988;0.9751509;-0.03834172;0.2181988;0.9751509
64651.58,GAZE,0.5229124;0.09681933;1.152811;3.032399;0.9331237;0.3756738;2.881567;0.04076135;0.4750634;2.89248;0.04236874;-0.03973771;0.2182725;0.9750785;-0.03973771;0.2182725;0.9750785
64665.59,GAZE,0.5227683;0.09754036;1.152659;3.033118;0.9331075;0.3753583;2.881449;0.04087631;0.4747506;2.892333;0.04252692;-0.04012308;0.2185548;0.9749994;-0.04012308;0.2185548;0.9749994
64679.77,GAZE,0.5237189;0.09852761;1.153573;3.034106;0.9328463;0.3753057;2.881514;0.04101952;0.4747035;2.892345;0.0426781;-0.04010408;0.2187329;0.9749603;-0.04010408;0.2187329;0.9749603
64693.37,GAZE,0.5227239;0.09906133;1.152591;3.034636;0.9330192;0.3752761;2.881548;0.04112668;0.4746769;2.892343;0.04284333;-0.04059772;0.2187804;0.9749292;-0.04059772;0.2187804;0.9749292
64707.59,GAZE,0.5230744;0.1001197;1.152916;3.035693;0.9328784;0.3753382;2.881601;0.0412382;0.4747459;2.89234;0.04290759;-0.04004012;0.2190998;0.9748805;-0.04004012;0.2190998;0.9748805
64721.6,GAZE,0.5228972;0.1004957;1.152737;3.036067;0.9328912;0.3754427;2.881678;0.04133524;0.4748575;2.892354;0.04298373;-0.03972229;0.2193702;0.9748327;-0.03972229;0.2193702;0.9748327
