timestamp,type,data
1236.204,TRIAL_START,this leather jacket is too warm
1263.923,CTX_POS,Current;2.607;1.19;0.334;0;1;0;1;0;0;0;0;1
1263.923,KEY_POS,Key_Q;Q;Current;0.06451613;0.06451613;-0.3870968;-0.1419355;Key_W;W;Current;0.06451613;0.06451613;-0.2903226;-0.1419355;Key_E;E;Current;0.06451613;0.06451613;-0.1935484;-0.1419355;Key_R;R;Current;0.06451613;0.06451613;-0.09677419;-0.1419355;Key_T;T;Current;0.06451613;0.06451613;0;-0.1419355;Key_Y;Y;Current;0.06451613;0.06451613;0.09677419;-0.1419355;Key_U;U;Current;0.06451613;0.06451613;0.1935484;-0.1419355;Key_I;I;Current;0.06451613;0.06451613;0.2903226;-0.1419355;Key_O;O;Current;0.06451613;0.06451613;0.3870968;-0.1419355;Key_P;P;Current;0.06451613;0.06451613;0.483871;-0.1419355;Key_A;A;Current;0.06451613;0.06451613;-0.3387097;-0.2387097;Key_S;S;Current;0.06451613;0.06451613;-0.2419355;-0.2387097;Key_D;D;Current;0.06451613;0.06451613;-0.1451613;-0.2387097;Key_F;F;Current;0.06451613;0.06451613;-0.04838708;-0.2387097;Key_G;G;Current;0.06451613;0.06451613;0.04838711;-0.2387097;Key_H;H;Current;0.06451613;0.06451613;0.1451613;-0.2387097;Key_J;J;Current;0.06451613;0.06451613;0.2419355;-0.2387097;Key_K;K;Current;0.06451613;0.06451613;0.3387097;-0.2387097;Key_L;L;Current;0.06451613;0.06451613;0.4354839;-0.2387097;Key_Z;Z;Current;0.06451613;0.06451613;-0.2903225;-0.3354839;Key_X;X;Current;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_C;C;Current;0.06451613;0.06451613;-0.09677416;-0.3354839;Key_V;V;Current;0.06451613;0.06451613;2.980232E-08;-0.3354839;Key_B;B;Current;0.06451613;0.06451613;0.09677422;-0.3354839;Key_N;N;Current;0.06451613;0.06451613;0.1935484;-0.3354839;Key_M;M;Current;0.06451613;0.06451613;0.2903226;-0.3354839;Key_';';Current;0.06451613;0.06451613;0.3870968;-0.3354839;Key_.;.;Current;0.06451613;0.06451613;0.483871;-0.3354839;Candidate_1;;Current;0.2129032;0.06451613;-0.4258064;0.1483871;Candidate_2;;Current;0.2129032;0.06451613;-0.1806452;0.1483871;Candidate_3;;Current;0.2129032;0.06451613;0.06451613;0.1483871;Candidate_4;;Current;0.2129032;0.06451613;0.3096774;0.1483871;Candidate_5;;Current;0.2129032;0.06451613;0.5548387;0.1483871;Backspace;←;Current;0.2129032;0.06451613;0.5548387;0.05161288;textField;---;Current;1;1;0;0.25;textReference;---;Reference;1;1;0;0.3
1278.153,GAZE,-4.420142;-12.3706;-1.813141;-11.1806;0.334;0.4048953;2.929432;-0.09267643;0.5046036;2.927006;-0.09991372;0.06933655;-0.1086344;0.9916607;0.06933655;-0.1086344;0.9916607
1292.978,GAZE,-4.421682;-12.38172;-1.814682;-11.19172;0.334;0.4039603;2.931018;-0.09379718;0.5037108;2.928529;-0.1004027;0.06337488;-0.09630094;0.9933326;0.06337488;-0.09630094;0.9933326
1305.672,GAZE,-4.425742;-12.40182;-1.818742;-11.21182;0.334;0.4031579;2.932549;-0.09493305;0.5029498;2.930031;-0.10087;0.05706742;-0.08396371;0.9948334;0.05706742;-0.08396371;0.9948334
1319.76,GAZE,-4.429396;-12.42162;-1.822395;-11.23162;0.334;0.4023573;2.933964;-0.09602611;0.5021808;2.931427;-0.101397;0.0517569;-0.07217465;0.9960482;0.0517569;-0.07217465;0.9960482
1334.026,GAZE,-4.427802;-12.41139;-1.820802;-11.22139;0.334;0.4016076;2.935362;-0.09713399;0.5014605;2.932828;-0.1019266;0.04632369;-0.06043603;0.9970966;0.04632369;-0.06043603;0.9970966
1347.716,GAZE,-4.423741;-12.38404;-1.816741;-11.19404;0.334;0.4008477;2.936711;-0.09826405;0.5007274;2.934181;-0.1024646;0.04071655;-0.04946569;0.9979455;0.04071655;-0.04946569;0.9979455
1361.676,GAZE,-4.422408;-12.37843;-1.815407;-11.18843;0.334;0.3999599;2.938003;-0.099397;0.4998611;2.935457;-0.1030414;0.03544132;-0.0387959;0.9986184;0.03544132;-0.0387959;0.9986184
