timestamp,type,data
12755.67,TRIAL_START,keep receipts for all your expenses
12769.58,CTX_POS,Current;0.4010015;2.910018;0.904968;0.01191655;0.9994834;0.02984856;0.9979433;-0.01376786;0.06260628;-0.06298488;-0.02904112;0.9975919
12769.58,KEY_POS,Key_Q;Q;Current;0.06451613;0.06451613;-0.3870968;-0.1419355;Key_W;W;Current;0.06451613;0.06451613;-0.2903226;-0.1419355;Key_E;E;Current;0.06451613;0.06451613;-0.1935484;-0.1419355;Key_R;R;Current;0.06451613;0.06451613;-0.09677419;-0.1419355;Key_T;T;Current;0.06451613;0.06451613;0;-0.1419355;Key_Y;Y;Current;0.06451613;0.06451613;0.09677419;-0.1419355;Key_U;U;Current;0.06451613;0.06451613;0.1935484;-0.1419355;Key_I;I;Current;0.06451613;0.06451613;0.2903226;-0.1419355;Key_O;O;Current;0.06451613;0.06451613;0.3870968;-0.1419355;Key_P;P;Current;0.06451613;0.06451613;0.483871;-0.1419355;Key_A;A;Current;0.06451613;0.06451613;-0.3387097;-0.2387097;Key_S;S;Current;0.06451613;0.06451613;-0.2419355;-0.2387097;Key_D;D;Current;0.06451613;0.06451613;-0.1451613;-0.2387097;Key_F;F;Current;0.06451613;0.06451613;-0.04838708;-0.2387097;Key_G;G;Current;0.06451613;0.06451613;0.04838711;-0.2387097;Key_H;H;Current;0.06451613;0.06451613;0.1451613;-0.2387097;Key_J;J;Current;0.06451613;0.06451613;0.2419355;-0.2387097;Key_K;K;Current;0.06451613;0.06451613;0.3387097;-0.2387097;Key_L;L;Current;0.06451613;0.06451613;0.4354839;-0.2387097;Key_Z;Z;Current;0.06451613;0.06451613;-0.2903225;-0.3354839;Key_X;X;Current;0.06451613;0.06451613;-0.1935484;-0.3354839;Key_C;C;Current;0.06451613;0.06451613;-0.09677416;-0.3354839;Key_V;V;Current;0.06451613;0.06451613;2.980232E-08;-0.3354839;Key_B;B;Current;0.06451613;0.06451613;0.09677422;-0.3354839;Key_N;N;Current;0.06451613;0.06451613;0.1935484;-0.3354839;Key_M;M;Current;0.06451613;0.06451613;0.2903226;-0.3354839;Key_';';Current;0.06451613;0.06451613;0.3870968;-0.3354839;Key_.;.;Current;0.06451613;0.06451613;0.483871;-0.3354839;Candidate_1;;Current;0.2129032;0.06451613;-0.4258064;0.1483871;Candidate_2;;Current;0.2129032;0.06451613;-0.1806452;0.1483871;Candidate_3;;Current;0.2129032;0.06451613;0.06451613;0.1483871;Candidate_4;;Current;0.2129032;0.06451613;0.3096774;0.1483871;Candidate_5;;Current;0.2129032;0.06451613;0.5548387;0.1483871;Backspace;←;Current;0.2129032;0.06451613;0.5548387;0.05161288;textField;---;Current;1;1;0;0.25;textReference;---;Reference;1;1;0;0.3
17002.57,GAZE,0.3278647;-0.2545088;0.725159;2.651127;0.9178977;0.4303451;2.941849;-0.09888247;0.5302261;2.937582;-0.1012431;0.02243923;-0.02764038;0.999366;0.02243923;-0.02764038;0.999366
17016.63,GAZE,0.3334748;-0.2528242;0.7307776;2.652734;0.9182992;0.4299839;2.941948;-0.09911729;0.529876;2.937773;-0.1011535;0.01926098;-0.02660494;0.9994605;0.01926098;-0.02660494;0.9994605
17030.59,GAZE,0.3377983;-0.2481618;0.7351478;2.657334;0.918709;0.4295887;2.942023;-0.09929153;0.5294919;2.937985;-0.1010351;0.01641;-0.02558132;0.9995381;0.01641;-0.02558132;0.9995381
17044.47,GAZE,0.3399675;-0.2464924;0.7373325;2.658973;0.9188947;0.4292782;2.942054;-0.09944041;0.5291917;2.938171;-0.1009301;0.0139487;-0.0245763;0.9996006;0.0139487;-0.0245763;0.9996006
17058.63,GAZE,0.344805;-0.2458685;0.7421675;2.65953;0.9192161;0.4288985;2.942142;-0.09957144;0.5288175;2.938348;-0.1009112;0.01249865;-0.02383129;0.9996378;0.01249865;-0.02383129;0.9996378
17072.39,GAZE,0.3494648;-0.2447428;0.7468311;2.660591;0.9195415;0.4286999;2.942125;-0.09969099;0.5286252;2.938456;-0.1009014;0.01126752;-0.02293056;0.9996735;0.01126752;-0.02293056;0.9996735
17089.81,GAZE,0.3514618;-0.2440288;0.7488325;2.661277;0.9196878;0.4285486;2.942176;-0.09972644;0.5284777;2.938603;-0.1009168;0.01111262;-0.02225882;0.9996905;0.01111262;-0.02225882;0.9996905
17100.05,GAZE,0.3499843;-0.2442166;0.7473558;2.661109;0.9195898;0.4283153;2.942161;-0.099804;0.5282502;2.938735;-0.1009331;0.01055233;-0.02167373;0.9997094;0.01055233;-0.02167373;0.9997094
17113.94,GAZE,0.3459757;-0.2443995;0.7433532;2.660982;0.9193334;0.4281994;2.942191;-0.09984189;0.5281386;2.938886;-0.1009514;0.0103992;-0.02115132;0.9997222;0.0103992;-0.02115132;0.9997222
17127.82,GAZE,0.3443506;-0.2437985;0.7417387;2.661605;0.9192495;0.4278764;2.942227;-0.09989174;0.5278183;2.939006;-0.101007;0.01047622;-0.02110356;0.9997224;0.01047622;-0.02110356;0.9997224
17142.58,GAZE,0.3429445;-0.242396;0.7403522;2.663026;0.9192033;0.4277765;2.942251;-0.09989348;0.5277196;2.939082;-0.1010543;0.01095377;-0.020761;0.9997244;0.01095377;-0.020761;0.9997244
17155.62,GAZE,0.3411211;-0.2407491;0.7385521;2.664697;0.9191383;0.4276808;2.942275;-0.09989493;0.5276242;2.939135;-0.1011037;0.01144861;-0.020466;0.999725;0.01144861;-0.020466;0.999725
