timestamp,type,data
54076.47,TRIAL_START,never mix religion and politics
54090.38,CTX_POS,Current;1.070826;2.924327;-0.5962228;-0.02635595;0.9995092;0.01693091;-0.6269704;-0.003336246;-0.779036;0.7785972;0.03114741;-0.6267506;Previous;0.6815277;2.908753;-0.2828474;-0.02635595;0.9995092;0.01693091;-0.6269704;-0.003336246;-0.779036;0.7785972;0.03114741;-0.6267506;InactivePrevious;-6.715146;2.612853;5.671285;-0.02635595;0.9995092;0.01693091;-0.6269704;-0.003336246;-0.779036;0.7785972;0.03114741;-0.6267506;InactiveNext;-6.715146;2.612853;5.671285;-0.02635595;0.9995092;0.01693091;-0.6269704;-0.003336246;-0.779036;0.7785972;0.03114741;-0.6267506;Next;1.849424;2.955474;-1.222973;-0.02635595;0.9995092;0.01693091;-0.6269704;-0.003336246;-0.779036;0.7785972;0.03114741;-0.6267506
54090.38,KEY_POS,Key_Q;Q;Current;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Current;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Current;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Current;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Current;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Current;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Current;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Current;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Current;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Current;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Current;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Current;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Current;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Current;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Current;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Current;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Current;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Current;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Current;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Current;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Current;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Current;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Current;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Current;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Current;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Current;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Current;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;Current;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;Current;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;Current;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;Current;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;Current;0.1012317;0.03490747;0.2373708;-0.1047224;Key_Q;Q;Previous;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Previous;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Previous;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Previous;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Previous;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Previous;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Previous;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Previous;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Previous;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Previous;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Previous;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Previous;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Previous;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Previous;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Previous;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Previous;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Previous;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Previous;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Previous;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Previous;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Previous;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Previous;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Previous;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Previous;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Previous;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Previous;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Previous;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;Previous;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;Previous;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;Previous;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;Previous;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;Previous;0.1012317;0.03490747;0.2373708;-0.1047224;Key_Q;Q;InactivePrevious;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;InactivePrevious;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;InactivePrevious;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;InactivePrevious;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;InactivePrevious;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;InactivePrevious;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;InactivePrevious;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;InactivePrevious;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;InactivePrevious;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;InactivePrevious;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;InactivePrevious;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;InactivePrevious;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;InactivePrevious;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;InactivePrevious;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;InactivePrevious;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;InactivePrevious;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;InactivePrevious;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;InactivePrevious;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;InactivePrevious;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;InactivePrevious;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;InactivePrevious;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;InactivePrevious;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;InactivePrevious;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;InactivePrevious;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;InactivePrevious;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;InactivePrevious;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';InactivePrevious;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;InactivePrevious;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;InactivePrevious;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;InactivePrevious;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;InactivePrevious;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;InactivePrevious;0.1012317;0.03490747;0.2373708;-0.1047224;Key_Q;Q;InactiveNext;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;InactiveNext;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;InactiveNext;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;InactiveNext;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;InactiveNext;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;InactiveNext;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;InactiveNext;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;InactiveNext;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;InactiveNext;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;InactiveNext;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;InactiveNext;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;InactiveNext;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;InactiveNext;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;InactiveNext;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;InactiveNext;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;InactiveNext;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;InactiveNext;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;InactiveNext;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;InactiveNext;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;InactiveNext;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;InactiveNext;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;InactiveNext;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;InactiveNext;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;InactiveNext;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;InactiveNext;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;InactiveNext;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';InactiveNext;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;InactiveNext;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;InactiveNext;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;InactiveNext;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;InactiveNext;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;InactiveNext;0.1012317;0.03490747;0.2373708;-0.1047224;Key_Q;Q;Next;0.03490747;0.03490747;-0.2356254;-0.261806;Key_W;W;Next;0.03490747;0.03490747;-0.1832642;-0.261806;Key_E;E;Next;0.03490747;0.03490747;-0.130903;-0.261806;Key_R;R;Next;0.03490747;0.03490747;-0.07854181;-0.261806;Key_T;T;Next;0.03490747;0.03490747;-0.0261806;-0.261806;Key_Y;Y;Next;0.03490747;0.03490747;0.0261806;-0.261806;Key_U;U;Next;0.03490747;0.03490747;0.07854182;-0.261806;Key_I;I;Next;0.03490747;0.03490747;0.130903;-0.261806;Key_O;O;Next;0.03490747;0.03490747;0.1832642;-0.261806;Key_P;P;Next;0.03490747;0.03490747;0.2356254;-0.261806;Key_A;A;Next;0.03490747;0.03490747;-0.2094448;-0.3141673;Key_S;S;Next;0.03490747;0.03490747;-0.1570836;-0.3141673;Key_D;D;Next;0.03490747;0.03490747;-0.1047224;-0.3141673;Key_F;F;Next;0.03490747;0.03490747;-0.0523612;-0.3141673;Key_G;G;Next;0.03490747;0.03490747;7.450581E-09;-0.3141673;Key_H;H;Next;0.03490747;0.03490747;0.05236121;-0.3141673;Key_J;J;Next;0.03490747;0.03490747;0.1047224;-0.3141673;Key_K;K;Next;0.03490747;0.03490747;0.1570836;-0.3141673;Key_L;L;Next;0.03490747;0.03490747;0.2094448;-0.3141673;Key_Z;Z;Next;0.03490747;0.03490747;-0.1832642;-0.3665285;Key_X;X;Next;0.03490747;0.03490747;-0.130903;-0.3665285;Key_C;C;Next;0.03490747;0.03490747;-0.0785418;-0.3665285;Key_V;V;Next;0.03490747;0.03490747;-0.02618059;-0.3665285;Key_B;B;Next;0.03490747;0.03490747;0.02618062;-0.3665285;Key_N;N;Next;0.03490747;0.03490747;0.07854182;-0.3665285;Key_M;M;Next;0.03490747;0.03490747;0.130903;-0.3665285;Key_';';Next;0.03490747;0.03490747;0.1832642;-0.3665285;Candidate_1;;Next;0.1012317;0.03490747;-0.2373708;-0.1047224;Candidate_2;;Next;0.1012317;0.03490747;-0.1186854;-0.1047224;Candidate_3;;Next;0.1012317;0.03490747;-3.72529E-09;-0.1047224;Candidate_4;;Next;0.1012317;0.03490747;0.1186854;-0.1047224;Candidate_5;;Next;0.1012317;0.03490747;0.2373708;-0.1047224;textField;---;Current;1;1;0;-0.03490747;textReference;---;Reference;1;1;0;0.01745374
54103.14,GAZE,-0.1391879;-0.3497757;1.167312;2.575187;-0.4937124;0.3132184;2.892036;0.06744109;0.248483;2.889236;-0.008726388;0.7620061;-0.001877015;-0.6475671;0.7620061;-0.001877015;-0.6475671
54120.1,GAZE,-0.1394069;-0.3501037;1.167458;2.57486;-0.4935474;0.3132603;2.892031;0.06740569;0.2485196;2.88918;-0.008755505;0.7619584;-0.002095731;-0.6476225;0.7619584;-0.002095731;-0.6476225
54138.14,GAZE,-0.1396983;-0.3494864;1.167624;2.575478;-0.4933098;0.3133164;2.892017;0.06736245;0.2485419;2.889101;-0.008767486;0.7616602;-0.002031282;-0.6479737;0.7616602;-0.002031282;-0.6479737
54145.68,GAZE,-0.1395217;-0.3495553;1.167515;2.575408;-0.4934487;0.3133655;2.891988;0.06731642;0.2485585;2.889061;-0.008785442;0.7613845;-0.00218296;-0.6482973;0.7613845;-0.00218296;-0.6482973
54159.32,GAZE,-0.1394992;-0.3500291;1.167513;2.574935;-0.4934742;0.3134;2.891979;0.0672622;0.2485943;2.889066;-0.008841254;0.7613961;-0.002129576;-0.6482834;0.7613961;-0.002129576;-0.6482834
54174.3,GAZE,-0.1390277;-0.3496614;1.167208;2.575301;-0.4938353;0.3134406;2.891981;0.06720757;0.2486225;2.889096;-0.008886427;0.7612955;-0.002165363;-0.6484016;0.7612955;-0.002165363;-0.6484016
54196.16,GAZE,-0.1389322;-0.3501966;1.167163;2.574765;-0.4939188;0.3134441;2.891937;0.06720206;0.2486161;2.889067;-0.008884043;0.7612157;-0.00231796;-0.6484945;0.7612157;-0.00231796;-0.6484945
54203.21,GAZE,-0.1391591;-0.3489491;1.167272;2.576013;-0.4937209;0.3134556;2.891909;0.0671943;0.2486229;2.88903;-0.008887447;0.7611777;-0.002535668;-0.6485386;0.7611777;-0.002535668;-0.6485386
54215.04,GAZE,-0.1388998;-0.3493313;1.167119;2.57563;-0.4939293;0.3134513;2.891887;0.06720687;0.2486105;2.888989;-0.008867338;0.7611102;-0.002735398;-0.6486168;0.7611102;-0.002735398;-0.6486168
54229.49,GAZE,-0.1382988;-0.3494004;1.166744;2.575559;-0.4943987;0.3134478;2.891888;0.06719309;0.2486135;2.888989;-0.008886568;0.7611637;-0.002654051;-0.6485547;0.7611637;-0.002654051;-0.6485547
54242.22,GAZE,-0.1379102;-0.3493383;1.166499;2.57562;-0.4947004;0.3134565;2.89192;0.0671671;0.2486212;2.889018;-0.008911595;0.7611513;-0.002447824;-0.6485701;0.7611513;-0.002447824;-0.6485701
54256.94,GAZE,-0.1370806;-0.349373;1.16598;2.575583;-0.4953473;0.3134388;2.891969;0.06714307;0.2486108;2.889076;-0.008942142;0.7612063;-0.001984561;-0.6485068;0.7612063;-0.001984561;-0.6485068
54270.63,GAZE,-0.1370153;-0.3504609;1.165968;2.574495;-0.4954166;0.3134251;2.892021;0.06712662;0.2485872;2.889119;-0.008949883;0.7611139;-0.001560715;-0.6486164;0.7611139;-0.001560715;-0.6486164
54284.48,GAZE,-0.1373813;-0.3512054;1.166217;2.573752;-0.495144;0.3133924;2.892077;0.06710097;0.2485647;2.889175;-0.008984223;0.7611963;-0.00130126;-0.6485204;0.7611963;-0.00130126;-0.6485204
