timestamp,type,data
4338.109,TRIAL_START,I will put on my glasses.
5215.971,GAZE,0.1861685;-0.5833569
5215.971,CONTEXT_CHANGE,Current;Previous
5232.124,GAZE,0.1852347;-0.5771251
5254.989,GAZE,0.1877812;-0.5859222
5263.955,GAZE,0.1877925;-0.5867011
5279.396,GAZE,0.1852607;-0.5944126
5293.473,GAZE,0.1822658;-0.597798
5308.499,GAZE,0.1778299;-0.6005034
5323.061,GAZE,0.1718799;-0.600619
5338.599,GAZE,0.1643205;-0.5988578
5353.099,GAZE,0.1666613;-0.601039
5367.319,GAZE,0.1749803;-0.6008478
5381.288,GAZE,0.180136;-0.5993373
5396.069,GAZE,0.1800597;-0.5962907
5415.917,GAZE,0.1769879;-0.5958562
5422.292,GAZE,0.1764382;-0.5959828
5438.03,GAZE,0.1760897;-0.5960506
5450.798,GAZE,0.1762109;-0.5958759
5464.922,GAZE,0.1763335;-0.5955198
5479.54,GAZE,0.1762466;-0.5952755
5493.126,GAZE,0.1759557;-0.5951889
5508.386,GAZE,0.1756669;-0.5952311
5522.502,GAZE,0.1752779;-0.5953598
5536.487,GAZE,0.1751207;-0.5954043
5550.495,GAZE,0.1751048;-0.5953127
5564.053,GAZE,0.174974;-0.595279
5578.417,GAZE,0.1747255;-0.5954182
5591.587,GAZE,0.1746136;-0.5955483
5605.758,GAZE,0.1744944;-0.5957105
5619.65,GAZE,0.1744497;-0.5958254
5632.889,GAZE,0.1743106;-0.5959696
5647.157,GAZE,0.1740984;-0.596332
5661.996,GAZE,0.1739979;-0.5965801
5674.758,GAZE,0.1739665;-0.5967948
5688.479,GAZE,0.1739761;-0.597078
5702.517,GAZE,0.1738503;-0.5975435
5717.138,GAZE,0.1737644;-0.5981328
5731.39,GAZE,0.173889;-0.5986763
5745.808,GAZE,0.1741036;-0.5994806
5759.556,GAZE,0.1741537;-0.6003198
5773.418,GAZE,0.1740104;-0.6015336
5786.923,GAZE,0.1739138;-0.6019737
5801.549,GAZE,0.1737827;-0.602092
5815.359,GAZE,0.1738467;-0.6021104
5829.088,GAZE,0.173914;-0.6024016
5842.33,GAZE,0.173961;-0.6027207
5856.14,GAZE,0.1739699;-0.6029788
5869.972,GAZE,0.1739621;-0.6030626
5884.283,GAZE,0.1739106;-0.6032066
5897.534,GAZE,0.1736866;-0.6034092
5912.152,GAZE,0.1735306;-0.6035909
5926.584,GAZE,0.1733854;-0.6037723
5939.128,GAZE,0.1733447;-0.6038778
5954.644,GAZE,0.1733403;-0.6040504
5968.091,GAZE,0.1733967;-0.6042147
5982.316,GAZE,0.1734534;-0.6044786
5996.319,GAZE,0.1734478;-0.604683
6010.074,GAZE,0.1733706;-0.6048822
6023.834,GAZE,0.1732132;-0.6050007
6037.759,GAZE,0.1730985;-0.6051183
6051.627,GAZE,0.1729916;-0.6051796
6065.219,GAZE,0.1729432;-0.6051856
6078.994,GAZE,0.1729908;-0.6051415
6093.923,GAZE,0.1730478;-0.6050901
6106.491,GAZE,0.1729295;-0.6051122
6120.216,GAZE,0.1728448;-0.6050861
6135.386,GAZE,0.1726703;-0.6051409
6149.087,GAZE,0.1725499;-0.6051741
6162.151,GAZE,0.1723304;-0.6051438
6177.594,GAZE,0.1721164;-0.6051419
6191.138,GAZE,0.1717915;-0.6051098
6205.532,GAZE,0.1716322;-0.6050541
6219.139,GAZE,0.1714917;-0.6049611
6232.518,GAZE,0.1713281;-0.6048316
6246.599,GAZE,0.1710977;-0.6046592
6261.58,GAZE,0.1705149;-0.6043002
6274.086,GAZE,0.1699344;-0.6038947
6288.075,GAZE,0.1693275;-0.6033503
6302.059,GAZE,0.1687805;-0.6027312
6316.223,GAZE,0.1682085;-0.6021097
6328.908,GAZE,0.1681147;-0.6020096
6343.966,GAZE,0.1683612;-0.6022205
6356.835,GAZE,0.168508;-0.6023065
6371.019,GAZE,0.168585;-0.6023707
6385.303,GAZE,0.1686363;-0.6023881
6398.891,GAZE,0.1687183;-0.6024064
6414.171,GAZE,0.1688165;-0.6024604
6428.34,GAZE,0.1688432;-0.6024829
6442.187,GAZE,0.1688614;-0.6025705
6455.42,GAZE,0.1688707;-0.6026304
6469.836,GAZE,0.1689681;-0.6027143
6483.971,GAZE,0.169091;-0.6027482
6497.385,GAZE,0.1691656;-0.6027763
6511.438,GAZE,0.1692246;-0.602817
6524.835,GAZE,0.169329;-0.6028932
6538.056,GAZE,0.1694673;-0.6030173
6552.333,GAZE,0.1695983;-0.6031488
6565.471,GAZE,0.1696889;-0.6032382
6579.738,GAZE,0.1698334;-0.6033051
6593.873,GAZE,0.1699534;-0.6033607
6607.877,GAZE,0.170062;-0.6034066
6622.278,GAZE,0.1701777;-0.6034561
6635.912,GAZE,0.1702531;-0.6035419
6650.878,GAZE,0.1703019;-0.6036499
6664.842,GAZE,0.1703632;-0.6037793
6679.432,GAZE,0.1704161;-0.6038696
6692.409,GAZE,0.1704348;-0.6038969
6706.933,GAZE,0.1706481;-0.603936
6720.411,GAZE,0.1708588;-0.6039331
6733.943,GAZE,0.1716347;-0.6040364
6748.422,GAZE,0.1721982;-0.6042082
6760.819,GAZE,0.1735534;-0.6046387
6775.048,GAZE,0.1735391;-0.6047128
6788.699,GAZE,0.173203;-0.6047389
6803.034,GAZE,0.1728977;-0.6047679
6817.229,GAZE,0.1728409;-0.6048173
6830.132,GAZE,0.1726272;-0.6048431
6845.164,GAZE,0.1721848;-0.6049844
6858.526,GAZE,0.171725;-0.6050438
6872.848,GAZE,0.1714135;-0.6050373
6887.772,GAZE,0.1708977;-0.6049753
6901.347,GAZE,0.1704434;-0.6049325
6915.293,GAZE,0.1702116;-0.6049249
6929.69,GAZE,0.1704112;-0.6051059
6942.998,GAZE,0.1705239;-0.6052573
6957.198,GAZE,0.170657;-0.6054863
6971.255,GAZE,0.1708375;-0.6056135
6985.017,GAZE,0.1710027;-0.6056827
6997.911,GAZE,0.1711315;-0.6057571
7011.333,GAZE,0.1711676;-0.6058111
7025.646,GAZE,0.1711499;-0.6058661
7039.28,GAZE,0.1711292;-0.6059275
7053.146,GAZE,0.1711293;-0.6060364
7067.475,GAZE,0.1711393;-0.6061314
7081.376,GAZE,0.1711414;-0.6062234
7095.715,GAZE,0.1710669;-0.6063046
7110.524,GAZE,0.1710326;-0.6063412
7124.173,GAZE,0.1709603;-0.606404
7137.792,GAZE,0.1709965;-0.6063479
7152.682,GAZE,0.1711156;-0.6062142
7166.213,GAZE,0.1712891;-0.6059834
7179.657,GAZE,0.1715795;-0.6054907
7193.338,GAZE,0.1727571;-0.605671
7208.342,GAZE,0.1735089;-0.6057912
7221.185,GAZE,0.1738241;-0.6055937
7234.157,GAZE,0.1736472;-0.6051707
7248.225,GAZE,0.1737049;-0.6045231
7261.96,GAZE,0.1751475;-0.6031171
7276.245,GAZE,0.1771563;-0.6015356
7289.767,GAZE,0.1795561;-0.6000764
7303.705,GAZE,0.1798825;-0.5997343
7317.945,GAZE,0.1792937;-0.600701
7332.92,GAZE,0.1770623;-0.6030506
7346.917,GAZE,0.1769666;-0.6034347
7361.085,GAZE,0.1768841;-0.6034886
7375.129,GAZE,0.176567;-0.6036323
7388.57,GAZE,0.1760974;-0.6039802
7402.712,GAZE,0.1755795;-0.6044794
7416.449,GAZE,0.1753306;-0.6048198
7430.211,GAZE,0.1754078;-0.6047387
7443.789,GAZE,0.1758928;-0.6044252
7457.559,GAZE,0.1773163;-0.604518
7471.62,GAZE,0.1796891;-0.6045418
7486.058,GAZE,0.05764149;-0.4208819
7498.908,GAZE,0.056309;-0.4183922
7512.921,GAZE,0.05571112;-0.4176619
7527.084,GAZE,0.0558046;-0.4195144
7541.053,GAZE,0.0547691;-0.4212714
7559.804,GAZE,0.05355196;-0.4221327
7569.444,GAZE,0.05253643;-0.4221
7583.564,GAZE,0.05158751;-0.4222985
7597.79,GAZE,0.05065539;-0.422652
7611.128,GAZE,0.05018548;-0.4232102
7625.435,GAZE,0.04966373;-0.4236974
7639.214,GAZE,0.04916298;-0.4243796
7653.212,GAZE,0.04736969;-0.4253803
7666.846,GAZE,0.04564139;-0.425155
7680.447,GAZE,0.04399537;-0.424392
7694.917,GAZE,0.04357903;-0.4235647
7715.972,GAZE,0.04493684;-0.4242449
7721.854,GAZE,0.04547717;-0.4244287
7735.635,GAZE,0.04648369;-0.4249466
7749.667,GAZE,0.04713713;-0.4249421
7763.353,GAZE,0.04728239;-0.4247321
7778.168,GAZE,0.04716028;-0.4246853
7792.76,GAZE,0.04716352;-0.4247234
7806.211,GAZE,0.0471771;-0.4246862
7820.009,GAZE,0.04710463;-0.4246458
7834.054,GAZE,0.04704589;-0.4246211
7848.22,GAZE,0.04699053;-0.424625
7862.107,GAZE,0.0469803;-0.4246528
7876.141,GAZE,0.04701383;-0.4246449
7890.066,GAZE,0.04703844;-0.42462
7903.353,GAZE,0.047029;-0.4246164
7917.088,GAZE,0.04687778;-0.4246233
7930.801,GAZE,0.04673949;-0.424616
7944.97,GAZE,0.04658896;-0.4246044
7958.55,GAZE,0.04645298;-0.4245628
7972.25,GAZE,0.04634187;-0.4245432
7986.059,GAZE,0.04620385;-0.4245297
8000.048,GAZE,0.0459424;-0.4244797
8015.289,GAZE,0.04574324;-0.4244274
8029.36,GAZE,0.04560111;-0.4244153
8043.449,GAZE,0.0455263;-0.4244504
8057.026,GAZE,0.04549012;-0.4244768
8071.014,GAZE,0.0455057;-0.4244576
8084.942,GAZE,0.04549129;-0.4244599
8098.37,GAZE,0.04549199;-0.4244694
8113.039,GAZE,0.045448;-0.4244814
8126.009,GAZE,0.04536811;-0.4244923
8139.38,GAZE,0.04529982;-0.4244984
8153.136,GAZE,0.0452759;-0.4244962
8166.906,GAZE,0.04523585;-0.4244759
8181.5,GAZE,0.04520882;-0.4244033
8195.646,GAZE,0.04527181;-0.424263
8209.504,GAZE,0.04542356;-0.4240882
8223.343,GAZE,0.04550743;-0.4239837
8238.453,GAZE,0.0455576;-0.4239777
8251.887,GAZE,0.04552778;-0.4240103
8266.221,GAZE,0.04580548;-0.4239653
8279.831,GAZE,0.04614809;-0.4238169
8294.029,GAZE,0.04624036;-0.4235764
8307.331,GAZE,0.04598881;-0.4232907
