timestamp,type,data
6143.924,TRIAL_START,My watch fell in the water.
6282.235,GAZE,0.002824761;-0.2177618
6296.01,GAZE,0.002583422;-0.2174699
6317.34,GAZE,0.004633836;-0.2173101
6324.47,GAZE,0.004980929;-0.2172325
6337.813,GAZE,0.0066851;-0.2169047
6353.261,GAZE,0.007888772;-0.2166077
6367.814,GAZE,0.008222923;-0.216497
6389.171,GAZE,0.007644184;-0.2164578
6395.645,GAZE,0.007644117;-0.216458
6408.253,GAZE,0.006705038;-0.2166021
6421.723,GAZE,0.006656483;-0.2164974
6436.468,GAZE,0.006714076;-0.2164109
6450.75,GAZE,0.006725535;-0.2162916
6464.359,GAZE,0.006699659;-0.2162491
6478.077,GAZE,0.006628759;-0.2162228
6495.258,GAZE,0.006575525;-0.2161962
6505.949,GAZE,0.006571725;-0.2161518
6519.212,GAZE,0.006603763;-0.2161295
6532.423,GAZE,0.006637223;-0.2160615
6546.506,GAZE,0.006668121;-0.215984
6561.409,GAZE,0.006694756;-0.2159232
6574.559,GAZE,0.006703265;-0.2158597
6589.212,GAZE,0.006645717;-0.2158575
6603.163,GAZE,0.006593034;-0.215855
6617.755,GAZE,0.006540172;-0.2158033
6631.758,GAZE,0.006535791;-0.2157387
6645.495,GAZE,0.006556965;-0.2156803
6659.14,GAZE,0.006586321;-0.2156277
6673.571,GAZE,0.006616347;-0.2156077
6687.133,GAZE,0.006631799;-0.2156281
6701.503,GAZE,0.006682798;-0.215603
6715.092,GAZE,0.006711707;-0.2155474
6728.912,GAZE,0.006703168;-0.2154728
6742.747,GAZE,0.00664144;-0.2153864
6755.941,GAZE,0.006568819;-0.2153067
6770.277,GAZE,0.006561823;-0.2152287
6783.437,GAZE,0.006635353;-0.2151775
6798.039,GAZE,0.006675236;-0.2151624
6812.446,GAZE,0.006675251;-0.2151622
6825.78,GAZE,0.00667531;-0.2151622
6840.238,GAZE,0.00667537;-0.2151622
6853.76,GAZE,0.00667537;-0.2151624
6867.753,GAZE,0.00667537;-0.2151622
6881.553,GAZE,0.00667543;-0.2151622
6895.83,GAZE,0.00667543;-0.2151622
6910.194,GAZE,0.006675489;-0.2151624
6923.608,GAZE,0.006675549;-0.2151622
6936.907,GAZE,0.006675608;-0.2151622
6964.702,GAZE,0.006675608;-0.2151624
6978.279,GAZE,0.006675728;-0.2151624
6991.974,GAZE,0.006675489;-0.2151622
7005.786,GAZE,0.006675489;-0.2151622
7019.34,GAZE,0.006675489;-0.2151622
7033.656,GAZE,0.006675489;-0.2151622
7047.203,GAZE,0.006675489;-0.2151622
7061.891,GAZE,0.006139815;-0.2150246
7074.667,GAZE,0.00612212;-0.2150266
7088.557,GAZE,0.005901553;-0.2152375
7102.265,GAZE,0.005819589;-0.2153492
7116.29,GAZE,0.005728967;-0.215491
7130.47,GAZE,0.005670443;-0.2156795
7145.142,GAZE,0.00566598;-0.2158492
7158.472,GAZE,0.005656175;-0.2159816
7172.1,GAZE,0.005731642;-0.2160746
7186.793,GAZE,0.005790651;-0.216116
7200.81,GAZE,0.005874671;-0.2161463
7214.689,GAZE,0.005996861;-0.2161479
7228.824,GAZE,0.006045476;-0.2160614
7242.181,GAZE,0.006100476;-0.216017
7256.51,GAZE,0.00624007;-0.2156948
7270.061,GAZE,0.006380908;-0.2154699
7283.805,GAZE,0.006606765;-0.2152568
7297.741,GAZE,0.006796852;-0.2150133
7311.792,GAZE,0.006922141;-0.2147324
7325.69,GAZE,0.006869048;-0.2145107
7339.568,GAZE,0.00670173;-0.2143216
7353.039,GAZE,0.006588586;-0.2141282
7367.865,GAZE,0.006574601;-0.2139696
7380.978,GAZE,0.00665471;-0.2138255
7395.037,GAZE,0.006693415;-0.2137134
7408.504,GAZE,0.006687947;-0.2135283
7422.79,GAZE,0.006616518;-0.2133158
7437.042,GAZE,0.006606892;-0.2130809
7450.903,GAZE,0.00670889;-0.2128133
7465.343,GAZE,0.006856412;-0.2126365
7479.566,GAZE,0.007035173;-0.2124532
7493.225,GAZE,0.00754194;-0.2119325
7506.765,GAZE,0.007791385;-0.2117344
7521.088,GAZE,0.00803782;-0.2115906
7534.765,GAZE,0.008257553;-0.2115501
7548.399,GAZE,0.008629173;-0.2114953
7562.439,GAZE,0.008961402;-0.2114664
7576.634,GAZE,0.009149611;-0.2114474
7589.701,GAZE,0.009287313;-0.2114842
7604.203,GAZE,0.009352662;-0.2115715
7617.634,GAZE,0.009419821;-0.2116746
7631.09,GAZE,0.009521797;-0.2118271
7645.281,GAZE,0.009591848;-0.2119464
7659.515,GAZE,0.009660073;-0.2120979
7672.972,GAZE,0.009609692;-0.2122054
7688.652,GAZE,0.009483948;-0.2123357
7702.091,GAZE,0.009451367;-0.2123738
7715.92,GAZE,0.009452142;-0.2123738
7729.931,GAZE,0.00917244;-0.2125643
7744.142,GAZE,0.00907743;-0.2126243
7757.986,GAZE,0.008984394;-0.212705
7771.485,GAZE,0.008839361;-0.2128229
7785.289,GAZE,0.008722343;-0.2129019
7799.141,GAZE,0.008634761;-0.2129134
7812.445,GAZE,0.008555993;-0.2128938
7826.728,GAZE,0.008480109;-0.212885
7840.474,GAZE,0.008376524;-0.2128597
7854.313,GAZE,0.00825496;-0.2128053
7868.89,GAZE,0.008225456;-0.2127626
7882.033,GAZE,0.008241937;-0.2127389
7895.664,GAZE,0.008274145;-0.2126926
7910.205,GAZE,0.008350611;-0.2126402
7925.372,GAZE,0.008428894;-0.2125884
7939.433,GAZE,0.008510061;-0.2125361
7953.183,GAZE,0.008631274;-0.2124647
7966.624,GAZE,0.008750916;-0.2123607
7981.159,GAZE,0.008875094;-0.2122213
7995.594,GAZE,0.009021111;-0.2121368
8007.704,GAZE,0.009152003;-0.2120921
8022.421,GAZE,0.009283468;-0.2120612
8036.074,GAZE,0.009474844;-0.2120223
8048.866,GAZE,0.009606481;-0.211984
8063.346,GAZE,0.009714939;-0.2119261
8077.837,GAZE,0.009790972;-0.211861
8090.784,GAZE,0.009817608;-0.2117852
8104.629,GAZE,0.009833097;-0.211704
8118.903,GAZE,0.00980594;-0.2116886
8132.957,GAZE,0.009754933;-0.2116684
8147.031,GAZE,0.00970234;-0.2116294
8162.107,GAZE,0.00957115;-0.2116243
8175.952,GAZE,0.009527117;-0.2116203
8189.823,GAZE,0.009370774;-0.2116463
8203.919,GAZE,0.009239577;-0.2116634
8217.653,GAZE,0.009104937;-0.2116795
8231.687,GAZE,0.009009168;-0.211698
8246.029,GAZE,0.008924745;-0.2117334
8259.434,GAZE,0.008772984;-0.2118362
8272.822,GAZE,0.008686356;-0.2118689
8286.354,GAZE,0.008616634;-0.2119212
8301.78,GAZE,0.008596078;-0.2119816
8313.7,GAZE,0.0086236;-0.2120249
8328.497,GAZE,0.008653454;-0.21206
8341.52,GAZE,0.008662403;-0.2120855
8355.462,GAZE,0.008669868;-0.2121059
8370.258,GAZE,0.008711964;-0.2121264
8383.645,GAZE,0.008770354;-0.2121289
8398.865,GAZE,0.008846849;-0.2121442
8412.945,GAZE,0.00893347;-0.2121381
8426.701,GAZE,0.009027801;-0.212132
8440.25,GAZE,0.009118959;-0.2121281
8454.62,GAZE,0.009225607;-0.2121234
8468.423,GAZE,0.009299994;-0.2121281
8482.129,GAZE,0.009346128;-0.2121443
8495.989,GAZE,0.009389564;-0.2121498
8509.401,GAZE,0.009436332;-0.2121416
8522.95,GAZE,0.009474725;-0.2121318
8536.441,GAZE,0.009552382;-0.2121211
8550.386,GAZE,0.009598881;-0.2121255
8564.304,GAZE,0.009604283;-0.2121126
8578.778,GAZE,0.009605594;-0.2120518
8593.753,GAZE,0.00963404;-0.2119812
8606.832,GAZE,0.00966835;-0.2118908
8622.175,GAZE,0.009688541;-0.2117884
8635.687,GAZE,0.009690322;-0.2117633
8649.346,GAZE,0.00971204;-0.2117334
8662.898,GAZE,0.009746134;-0.2116842
8677.831,GAZE,0.009808771;-0.2116502
8691.196,GAZE,0.009808458;-0.2116271
8705.159,GAZE,0.009781204;-0.211602
8718.626,GAZE,0.009731218;-0.2115832
8732.011,GAZE,0.009673156;-0.2115664
8746.313,GAZE,0.00964126;-0.211531
8759.843,GAZE,0.009663522;-0.2114901
8773.435,GAZE,0.009710863;-0.211424
8787.151,GAZE,0.009732015;-0.2113695
8801.563,GAZE,0.009722732;-0.2113032
8815.492,GAZE,0.009739406;-0.2112685
8829.681,GAZE,0.009787418;-0.2112415
8844.706,GAZE,0.00983306;-0.2112064
8858.756,GAZE,0.009888701;-0.21115
8872.09,GAZE,0.009936057;-0.2110852
8885.674,GAZE,0.009999581;-0.2109999
8900.153,GAZE,0.01006111;-0.2109137
8914.289,GAZE,0.01012903;-0.2109442
8928.049,GAZE,0.01018559;-0.2110476
8941.507,GAZE,0.0102728;-0.2111671
8955.047,GAZE,0.01033581;-0.2112766
8968.704,GAZE,0.0103468;-0.2113992
8982.795,GAZE,0.01035949;-0.2114952
8996.269,GAZE,0.01039685;-0.2115799
9010.508,GAZE,0.01041179;-0.211623
9025.356,GAZE,0.01046094;-0.2116489
9038.089,GAZE,0.01048332;-0.2116414
9051.964,GAZE,0.01050721;-0.2116174
9067.161,GAZE,0.01058409;-0.2115752
9081.411,GAZE,0.0105882;-0.2115043
9095.116,GAZE,0.01058704;-0.2114425
9109.285,GAZE,0.0105908;-0.2114005
9123.315,GAZE,0.01055314;-0.2113838
9136.332,GAZE,0.01045741;-0.2113615
9150.645,GAZE,0.01039517;-0.2113657
9164.911,GAZE,0.01037298;-0.2113365
9179.397,GAZE,0.0103726;-0.2112852
9191.091,GAZE,0.01040471;-0.2112137
9205.66,GAZE,0.01044005;-0.2111527
9219.708,GAZE,0.0104963;-0.211069
9233.423,GAZE,0.01053006;-0.2110104
9247.14,GAZE,0.01055568;-0.2109458
9261.878,GAZE,0.01060789;-0.2108785
9275.097,GAZE,0.01071881;-0.2108093
9290.463,GAZE,0.01088522;-0.2107994
9304.539,GAZE,0.01103203;-0.2107677
9318.296,GAZE,0.01113115;-0.2107804
9331.889,GAZE,0.01124988;-0.210819
9346.051,GAZE,0.0113596;-0.2109097
9360.271,GAZE,0.01149106;-0.2110627
9374.639,GAZE,0.01160915;-0.2112778
9387.684,GAZE,0.01166837;-0.2114762
9400.351,GAZE,0.01173269;-0.2117384
9414.609,GAZE,0.01179227;-0.2120007
9428.233,GAZE,0.01181408;-0.2121599
9442.148,GAZE,0.01180495;-0.2123214
9455.896,GAZE,0.01176609;-0.2124965
9469.852,GAZE,0.011734;-0.2126083
9484.751,GAZE,0.01169397;-0.2127093
9497.747,GAZE,0.01162583;-0.2127968
9512.119,GAZE,0.01150808;-0.2128705
9527.309,GAZE,0.01132446;-0.212897
9541.071,GAZE,0.01117428;-0.2129139
