timestamp,type,data
12603.5,TRIAL_START,A thoroughly disgusting thing to say.
14134.08,GAZE,-0.3954669;-0.02071469
14156.44,GAZE,-0.3959049;-0.02200829
14162.48,GAZE,-0.396686;-0.02383361
14174.92,GAZE,-0.3960588;-0.02929502
14189.29,GAZE,-0.3978163;-0.03239221
14203.04,GAZE,-0.3985355;-0.03683551
14219.71,GAZE,-0.4009712;-0.0450186
14231.7,GAZE,-0.4020732;-0.04869199
14253.75,GAZE,-0.4011994;-0.05335953
14260.17,GAZE,-0.4013781;-0.05652699
14273.12,GAZE,-0.40148;-0.06126761
14287.28,GAZE,-0.4018759;-0.06733084
14300.91,GAZE,-0.4022055;-0.07521551
14314.82,GAZE,-0.4018849;-0.08373678
14328.91,GAZE,-0.4012976;-0.09184792
14343.09,GAZE,-0.4008091;-0.09908901
14356.48,GAZE,-0.3982029;-0.1108322
14370.57,GAZE,-0.3964428;-0.1207548
14384.14,GAZE,-0.3946402;-0.127335
14398.02,GAZE,-0.3926006;-0.130402
14411.99,GAZE,-0.3904358;-0.132126
14425.88,GAZE,-0.3885641;-0.1329535
14440.61,GAZE,-0.3883507;-0.1325335
14453.88,GAZE,-0.3882119;-0.1338268
14467.82,GAZE,-0.3884054;-0.1321604
14482.07,GAZE,-0.3887818;-0.1310199
14495.98,GAZE,-0.389937;-0.1264157
14510.22,GAZE,-0.3901961;-0.1254258
14524.08,GAZE,-0.3903894;-0.1257431
14537.96,GAZE,-0.3911257;-0.1270645
14551.8,GAZE,-0.3917791;-0.1285214
14566.17,GAZE,-0.3925854;-0.130348
14579.95,GAZE,-0.3942006;-0.1364237
14593.89,GAZE,-0.3946335;-0.1407442
14606.94,GAZE,-0.3953729;-0.1449277
14620.87,GAZE,-0.3971924;-0.1508889
14634.7,GAZE,-0.397429;-0.1546673
14649.07,GAZE,-0.3970536;-0.1600558
14663.4,GAZE,-0.3986493;-0.1692653
14677.14,GAZE,-0.4006407;-0.1770133
14690.31,GAZE,-0.4004529;-0.1830278
14704.41,GAZE,-0.3982808;-0.1875276
14719.84,GAZE,-0.39508;-0.1906838
14732.74,GAZE,-0.39254;-0.1936254
14746.24,GAZE,-0.3904653;-0.1958693
14760.6,GAZE,-0.3879867;-0.1972477
14774.76,GAZE,-0.3856771;-0.1984847
14789.13,GAZE,-0.3846952;-0.2014247
14802.73,GAZE,-0.3852469;-0.2061055
14816.3,GAZE,-0.3860271;-0.2105275
14830.57,GAZE,-0.3871267;-0.2139713
14844.67,GAZE,-0.3873156;-0.216956
14858.63,GAZE,-0.3874388;-0.2207559
14871.93,GAZE,-0.3879376;-0.2253861
14885.51,GAZE,-0.3886392;-0.2299566
14899.32,GAZE,-0.3891708;-0.2345783
14913.53,GAZE,-0.3892698;-0.2390819
14927.07,GAZE,-0.3889588;-0.2467236
14940.92,GAZE,-0.3890384;-0.2529343
14954.9,GAZE,-0.3892893;-0.2595627
14969.18,GAZE,-0.3915216;-0.269837
14982.68,GAZE,-0.3943364;-0.2806436
14996.65,GAZE,-0.4007232;-0.3000546
15011.18,GAZE,-0.4051331;-0.3195541
15024.83,GAZE,-0.4074927;-0.337983
15038.57,GAZE,-0.4073664;-0.3509802
15053.19,GAZE,-0.4048039;-0.3616867
15066.46,GAZE,-0.3996798;-0.3733733
15080.32,GAZE,-0.391106;-0.3872063
15094.34,GAZE,-0.3795607;-0.4037733
15108.86,GAZE,-0.3648179;-0.4239682
15122.65,GAZE,-0.3475996;-0.4483857
15136.44,GAZE,-0.329286;-0.4730681
15150,GAZE,-0.3082868;-0.4985562
15164.2,GAZE,-0.1533674;-0.4193708
15178.44,GAZE,-0.142376;-0.425166
15192.38,GAZE,-0.1325801;-0.4285869
15206.02,GAZE,-0.08023702;-0.3711969
15219.93,GAZE,-0.07812858;-0.3708286
