timestamp,type,data
14369.81,TRIAL_START,What a lovely red jacket.
14508.16,GAZE,0.01005157;-0.2314932
14521.43,GAZE,0.01001744;-0.2319206
14536.78,GAZE,0.01056364;-0.2320786
14563.33,GAZE,0.01200684;-0.2315349
14578.53,GAZE,0.01213893;-0.2312724
14591.75,GAZE,0.01214685;-0.2310518
14606.59,GAZE,0.01228983;-0.2306554
14624.02,GAZE,0.01261985;-0.2301954
14642.97,GAZE,0.01291275;-0.2298528
14649.76,GAZE,0.01293894;-0.229807
14661.08,GAZE,0.01290794;-0.2296834
14675.07,GAZE,0.01277776;-0.2295962
14689.35,GAZE,0.01267647;-0.2294751
14703.35,GAZE,0.01258712;-0.2293072
14717.8,GAZE,0.012481;-0.2291614
14730.86,GAZE,0.01237974;-0.2290789
14744.5,GAZE,0.01227617;-0.2290223
14758.48,GAZE,0.01219831;-0.2289406
14773.63,GAZE,0.01212606;-0.2288636
14787.82,GAZE,0.01209403;-0.2288623
14801.62,GAZE,0.01210485;-0.2288676
14815.03,GAZE,0.01211602;-0.22885
14828.9,GAZE,0.01213045;-0.2288621
14843.1,GAZE,0.01215197;-0.2289725
14857.13,GAZE,0.01219675;-0.2291877
14870.99,GAZE,0.01223219;-0.2292918
14885.32,GAZE,0.01228235;-0.2293563
14898.44,GAZE,0.01233831;-0.2295116
14912.04,GAZE,0.01239166;-0.2296396
14925.97,GAZE,0.01250582;-0.2298554
14940,GAZE,0.01264795;-0.2300501
14953.88,GAZE,0.01272363;-0.2301762
14969.18,GAZE,0.01279904;-0.230335
14981.88,GAZE,0.01286643;-0.2305361
14996.51,GAZE,0.01292763;-0.2307188
15010.23,GAZE,0.01302843;-0.2309106
15023.88,GAZE,0.01315596;-0.2310623
15037.91,GAZE,0.0131535;-0.2310621
15052.03,GAZE,0.01338361;-0.2313709
15065.92,GAZE,0.01352059;-0.2315823
15080,GAZE,0.01363258;-0.2316777
15094.08,GAZE,0.01387534;-0.2320786
15107.44,GAZE,0.01384692;-0.2321287
15121.29,GAZE,0.01388727;-0.232671
15134.96,GAZE,0.01372281;-0.2332999
15148.56,GAZE,0.01368137;-0.233641
15162.95,GAZE,0.0136169;-0.2338915
15177.08,GAZE,0.01351983;-0.2340138
15190.99,GAZE,0.01327145;-0.2340676
15204.49,GAZE,0.01302692;-0.2340122
15219.09,GAZE,0.01281511;-0.2337945
15232.87,GAZE,0.01276211;-0.2336203
15246.09,GAZE,0.01269569;-0.2333828
15261.07,GAZE,0.01263011;-0.2331623
15274.72,GAZE,0.01251523;-0.2329211
15288.69,GAZE,0.01234585;-0.2326964
15302.7,GAZE,0.004700368;-0.2668377
15316.72,GAZE,0.004755233;-0.2665772
15330.25,GAZE,0.005201618;-0.2663204
15344.39,GAZE,0.005771867;-0.2659502
15358,GAZE,0.006471402;-0.265548
15372.04,GAZE,0.006893289;-0.2654487
15386.44,GAZE,0.007963818;-0.265101
15399.61,GAZE,0.008238442;-0.264836
15413.1,GAZE,0.008345311;-0.2645883
15426.77,GAZE,0.008302089;-0.2644129
15441.3,GAZE,0.008220755;-0.264197
15454.35,GAZE,0.008132806;-0.2639255
15469.22,GAZE,0.007853281;-0.2635677
15483.89,GAZE,0.007682387;-0.2633251
15497.49,GAZE,0.00752404;-0.263252
15511.74,GAZE,0.007287946;-0.2633443
15525.22,GAZE,0.007110931;-0.2635467
15538.93,GAZE,0.006985102;-0.2636977
15553.45,GAZE,0.007016491;-0.2637914
15566.92,GAZE,0.007021281;-0.2638054
15580.73,GAZE,0.007013781;-0.2638045
15593.99,GAZE,0.007006232;-0.2638038
15608.32,GAZE,0.006481738;-0.2644784
15622.63,GAZE,0.006411053;-0.2647176
15636.64,GAZE,0.006240968;-0.2648459
15649.04,GAZE,0.006063236;-0.2648894
15662.91,GAZE,0.005801547;-0.2648933
15677.18,GAZE,0.005304547;-0.264922
15692.26,GAZE,0.00497944;-0.2647204
15705.28,GAZE,0.006017305;-0.262848
15719.68,GAZE,0.006408766;-0.2614955
15734.98,GAZE,0.005307405;-0.2616544
15748.2,GAZE,0.003982881;-0.2622159
15761.61,GAZE,0.003624707;-0.2621511
15776.01,GAZE,0.00160266;-0.2613223
15789.52,GAZE,0.0004986054;-0.2609465
15804.58,GAZE,-0.00178445;-0.260291
15817.14,GAZE,-0.003688119;-0.2596084
15830.73,GAZE,-0.004827292;-0.2592407
15844.45,GAZE,-0.005319276;-0.2590726
15858.16,GAZE,-0.006403994;-0.2587059
15871.64,GAZE,-0.007513027;-0.2580276
15886.66,GAZE,-0.009364757;-0.2563941
15899.39,GAZE,-0.01050224;-0.2552083
15913.43,GAZE,-0.01106485;-0.2545739
15927.45,GAZE,-0.01110256;-0.2545667
15941.49,GAZE,-0.01161743;-0.2537659
15956.72,GAZE,-0.01258509;-0.2527117
15971.39,GAZE,-0.01386485;-0.2526802
15984.73,GAZE,-0.01465047;-0.2531357
15998.68,GAZE,-0.01549509;-0.2530862
16012.77,GAZE,-0.01591669;-0.2530653
16026.4,GAZE,-0.01602171;-0.2534919
16040.1,GAZE,-0.01602419;-0.2536073
16054.34,GAZE,-0.01597249;-0.2534407
16067.92,GAZE,-0.01570869;-0.2532272
16080.87,GAZE,-0.01546251;-0.2532673
16094.63,GAZE,-0.01546486;-0.2533379
16109.26,GAZE,-0.01562672;-0.2534618
16123.02,GAZE,-0.01560645;-0.2535698
16136.59,GAZE,-0.01543994;-0.2535845
16151.44,GAZE,-0.01515176;-0.2533892
16164.51,GAZE,-0.01493313;-0.2531636
16179.95,GAZE,-0.01457349;-0.2528233
16194.05,GAZE,-0.01426856;-0.2525201
16207.49,GAZE,-0.01395999;-0.2522089
16221.2,GAZE,-0.01361221;-0.2519218
16235.34,GAZE,-0.01338627;-0.2516426
16249.03,GAZE,-0.01312326;-0.2513826
