timestamp,type,data
65144,37,TRIAL_START,that agreement is rife with problems
65154,7,TEXT_CHANGE
65154,7,CTX_POS
65154,7,KEY_POS
65165,62,GAZE
65175,73,GAZE
65186,54,GAZE
65197,63,GAZE
65209,27,GAZE
65220,73,GAZE
65231,66,GAZE
65241,94,GAZE
65253,41,GAZE
65264,27,GAZE
65276,05,GAZE
65287,64,GAZE
65300,19,GAZE
65310,24,GAZE
65320,79,GAZE
65332,6,GAZE
65343,16,GAZE
65354,12,GAZE
65365,4,GAZE
65376,61,GAZE
65387,44,GAZE
65398,55,GAZE
65410,63,GAZE
65421,19,GAZE
65431,47,GAZE
65442,73,GAZE
65454,16,GAZE
65465,49,GAZE
65476,06,GAZE
65487,52,GAZE
65498,85,GAZE
65511,24,GAZE
65521,53,GAZE
65532,51,GAZE
65543,26,GAZE
65554,79,GAZE
65565,85,GAZE
65577,2,GAZE
65588,2,GAZE
65599,74,GAZE
65609,91,GAZE
65620,93,GAZE
65632,42,GAZE
65644,43,GAZE
65655,04,GAZE
65665,89,GAZE
65677,76,GAZE
65688,31,GAZE
65699,23,GAZE
65711,86,GAZE
65721,1,GAZE
65732,06,GAZE
65742,7,GAZE
65754,18,GAZE
65764,94,GAZE
65776,82,GAZE
65787,48,GAZE
65798,41,GAZE
65810,2,GAZE
65821,69,GAZE
65831,83,GAZE
65843,54,GAZE
65854,36,GAZE
65865,48,GAZE
65877,54,GAZE
65887,73,GAZE
65899,22,GAZE
65910,45,GAZE
65923,05,GAZE
65932,15,GAZE
65943,47,GAZE
65954,52,GAZE
65965,35,GAZE
65976,74,GAZE
65988,03,GAZE
65999,08,GAZE
66009,98,GAZE
66021,96,GAZE
66032,95,GAZE
66043,45,GAZE
66054,76,GAZE
66065,63,GAZE
66077,1,GAZE
66087,7,GAZE
66099,84,GAZE
66110,03,GAZE
66121,44,GAZE
66133,02,GAZE
66143,61,GAZE
66154,35,GAZE
66166,01,GAZE
66177,13,GAZE
66188,3,GAZE
66199,38,GAZE
66210,34,GAZE
66221,49,GAZE
66232,53,GAZE
66243,8,GAZE
66254,26,GAZE
66266,21,GAZE
66277,69,GAZE
66287,81,GAZE
66298,79,GAZE
66309,85,GAZE
66321,07,GAZE
66332,38,GAZE
66345,21,GAZE
66353,95,GAZE
66365,65,GAZE
66376,16,GAZE
66387,13,GAZE
66399,48,GAZE
66410,16,GAZE
66420,45,GAZE
66431,77,GAZE
66443,06,GAZE
66454,2,GAZE
66465,11,GAZE
66477,2,GAZE
66489,84,GAZE
66498,15,GAZE
66508,55,GAZE
66520,34,GAZE
66531,05,GAZE
66542,52,GAZE
66553,78,GAZE
66564,05,GAZE
66576,05,GAZE
66587,05,GAZE
66597,9,GAZE
66609,95,GAZE
66621,49,GAZE
66632,2,GAZE
66643,63,GAZE
66654,85,GAZE
66665,77,GAZE
66676,86,GAZE
66688,3,GAZE
66699,55,GAZE
66710,56,GAZE
66721,38,GAZE
66732,44,GAZE
66743,35,GAZE
66755,72,GAZE
66765,99,GAZE
66777,52,GAZE
66787,64,GAZE
66798,66,GAZE
66811,49,GAZE
66820,81,GAZE
66832,67,GAZE
66843,62,GAZE
66855,11,GAZE
66865,7,GAZE
66876,84,GAZE
66888,18,GAZE
66899,02,GAZE
66909,77,GAZE
66920,71,GAZE
66932,04,GAZE
66942,31,GAZE
66954,55,GAZE
66966,9,GAZE
66976,59,GAZE
66987,13,GAZE
66998,73,GAZE
67009,66,GAZE
67020,68,GAZE
67032,03,GAZE
67043,8,GAZE
67054,2,GAZE
67065,05,GAZE
67076,6,GAZE
67087,61,GAZE
67098,83,GAZE
67110,58,GAZE
67121,8,GAZE
67131,83,GAZE
67143,54,GAZE
67154,8,GAZE
67166,28,GAZE
67177,07,GAZE
67187,3,GAZE
67198,57,GAZE
67211,07,GAZE
67220,94,GAZE
67232,15,GAZE
67244,19,GAZE
67254,53,GAZE
67265,4,GAZE
67276,53,GAZE
67288,19,GAZE
67299,16,GAZE
67310,55,GAZE
67321,41,GAZE
67332,1,GAZE
67343,92,GAZE
67354,74,GAZE
67366,29,GAZE
67378,74,GAZE
67388,84,GAZE
67410,8,GAZE
67416,07,GAZE
67428,54,GAZE
67439,33,GAZE
67449,98,GAZE
67461,14,GAZE
67471,77,GAZE
67482,5,GAZE
67493,14,GAZE
67504,72,GAZE
67516,11,GAZE
67532,15,GAZE
67543,77,GAZE
67553,65,GAZE
67564,82,GAZE
67576,46,GAZE
67588,11,GAZE
67598,33,GAZE
67608,99,GAZE
67620,5,GAZE
67631,39,GAZE
67643,05,GAZE
67653,73,GAZE
67664,4,GAZE
67675,63,GAZE
67687,92,GAZE
67698,08,GAZE
67709,26,GAZE
67720,54,GAZE
67731,76,GAZE
67743,08,GAZE
67753,74,GAZE
67765,05,GAZE
67776,46,GAZE
67788,19,GAZE
67798,51,GAZE
67809,8,GAZE
67820,59,GAZE
67831,55,GAZE
67843,14,GAZE
67854,26,GAZE
67865,GAZE,-0
67876,45,GAZE
67888,31,GAZE
67898,81,GAZE
67910,09,GAZE
67920,98,GAZE
67932,15,GAZE
67943,21,GAZE
67954,46,GAZE
67965,72,GAZE
67977,18,GAZE
67989,14,GAZE
67999,67,GAZE
68010,8,GAZE
68021,78,GAZE
68032,19,GAZE
68044,04,GAZE
68054,68,GAZE
68065,6,GAZE
68076,39,GAZE
68087,8,GAZE
68099,42,GAZE
68109,84,GAZE
68121,03,GAZE
68132,11,GAZE
68144,09,GAZE
68155,52,GAZE
68165,55,GAZE
68177,31,GAZE
68189,59,GAZE
68198,59,GAZE
68209,99,GAZE
68220,87,GAZE
68232,33,GAZE
68243,1,GAZE
68253,89,GAZE
68265,24,GAZE
68276,53,GAZE
68287,86,GAZE
68298,4,GAZE
68310,09,GAZE
68320,73,GAZE
68332,33,GAZE
68343,52,GAZE
68354,98,GAZE
68365,3,GAZE
68377,35,GAZE
68389,7,GAZE
68399,1,GAZE
68409,83,GAZE
68421,52,GAZE
68431,76,GAZE
68442,58,GAZE
68453,51,GAZE
68465,73,GAZE
68475,62,GAZE
68487,02,GAZE
68498,77,GAZE
68509,54,GAZE
68520,52,GAZE
68532,06,GAZE
68543,61,GAZE
68554,52,GAZE
68565,63,GAZE
68577,57,GAZE
68589,33,GAZE
68599,18,GAZE
68609,73,GAZE
68621,52,GAZE
68632,12,GAZE
68643,2,GAZE
68655,63,GAZE
68665,75,GAZE
68676,29,GAZE
68687,25,GAZE
68699,05,GAZE
68710,06,GAZE
68721,34,GAZE
68732,32,GAZE
68743,24,GAZE
68765,74,GAZE
68772,71,GAZE
68784,92,GAZE
68796,8,GAZE
68806,48,GAZE
68818,63,GAZE
68828,56,GAZE
68840,33,GAZE
68851,07,GAZE
68862,42,GAZE
68873,08,GAZE
68873,08,CANDIDATES
68888,76,GAZE
68899,27,GAZE
68910,36,GAZE
68920,78,GAZE
68932,45,GAZE
68943,52,GAZE
68955,09,GAZE
68965,52,GAZE
68976,79,GAZE
68988,29,GAZE
69000,09,GAZE
69009,93,GAZE
69021,27,GAZE
69032,38,GAZE
69044,01,GAZE
69054,77,GAZE
69065,52,GAZE
69076,9,GAZE
69088,24,GAZE
69098,88,GAZE
69110,29,GAZE
69121,18,GAZE
69131,67,GAZE
69143,38,GAZE
69154,48,GAZE
69165,25,GAZE
69176,1,GAZE
69187,23,GAZE
69199,01,GAZE
69210,87,GAZE
69220,85,GAZE
69232,17,GAZE
69243,35,GAZE
69254,56,GAZE
69266,06,GAZE
69277,14,GAZE
69288,24,GAZE
69299,75,GAZE
69310,13,GAZE
69321,31,GAZE
69332,36,GAZE
69344,2,GAZE
69355,05,GAZE
69365,84,GAZE
69377,52,GAZE
69388,17,GAZE
69399,38,GAZE
69412,02,GAZE
69421,73,GAZE
69432,3,GAZE
69443,23,GAZE
69454,16,GAZE
69465,82,GAZE
69476,13,GAZE
69488,39,GAZE
69498,72,GAZE
69510,2,GAZE
69520,79,GAZE
69531,67,GAZE
69543,8,GAZE
69554,55,GAZE
69565,23,GAZE
69576,94,GAZE
69587,41,GAZE
69602,05,GAZE
69610,53,GAZE
69621,91,GAZE
69631,05,GAZE
69641,99,GAZE
69653,17,GAZE
69663,93,GAZE
69675,64,GAZE
69687,39,GAZE
69697,41,GAZE
69709,45,GAZE
69720,39,GAZE
69731,72,GAZE
69743,43,GAZE
69755,23,GAZE
69764,82,GAZE
69776,76,GAZE
69787,71,GAZE
69799,16,GAZE
69810,02,GAZE
69821,35,GAZE
69833,17,GAZE
69843,82,GAZE
69854,74,GAZE
69865,79,GAZE
69877,16,GAZE
69888,7,GAZE
69899,11,GAZE
69910,24,GAZE
69921,7,GAZE
69932,63,GAZE
69943,55,GAZE
69954,93,GAZE
69966,27,GAZE
69977,12,GAZE
69988,77,GAZE
69999,15,GAZE
70010,2,GAZE
70021,51,GAZE
70033,76,GAZE
70044,02,GAZE
70054,34,GAZE
70065,57,GAZE
70076,98,GAZE
70087,67,GAZE
70098,58,GAZE
70110,18,GAZE
70121,16,GAZE
70132,28,GAZE
70143,39,GAZE
70154,2,GAZE
70165,69,GAZE
70177,55,GAZE
70188,4,GAZE
70198,98,GAZE
70210,27,GAZE
70220,91,GAZE
70232,34,GAZE
70245,68,GAZE
70254,2,GAZE
70265,65,GAZE
70276,14,GAZE
70287,21,GAZE
70298,34,GAZE
70310,13,GAZE
70320,63,GAZE
70332,28,GAZE
70344,23,GAZE
70354,84,GAZE
70365,08,GAZE
70377,65,GAZE
70388,94,GAZE
70399,98,GAZE
70410,65,GAZE
70420,91,GAZE
70432,GAZE,-0
70443,86,GAZE
70455,38,GAZE
70465,66,GAZE
70476,73,GAZE
70488,25,GAZE
70499,02,GAZE
70510,14,GAZE
70521,43,GAZE
70532,87,GAZE
70545,01,GAZE
70555,46,GAZE
70565,27,GAZE
70576,48,GAZE
70588,51,GAZE
70599,16,GAZE
70609,98,GAZE
70621,43,GAZE
70632,37,GAZE
70643,76,GAZE
70654,68,GAZE
70666,55,GAZE
