timestamp,type,data
166090,6,TRIAL_START,freud wrote of the ego
166112,9,TEXT_CHANGE
166112,9,CTX_POS
166112,9,KEY_POS
166123,4,GAZE
166135,5,GAZE
166146,GAZE,-0
166156,3,GAZE
166167,9,GAZE
166180,GAZE,-0
166190,2,GAZE
166200,6,GAZE
166212,1,GAZE
166223,1,GAZE
166233,7,GAZE
166245,2,GAZE
166256,3,GAZE
166267,7,GAZE
166278,8,GAZE
166289,9,GAZE
166301,GAZE,-0
166312,4,GAZE
166323,6,GAZE
166335,8,GAZE
166345,7,GAZE
166356,4,GAZE
166367,9,GAZE
166378,5,GAZE
166390,GAZE,-0
166401,4,GAZE
166411,9,GAZE
166422,5,GAZE
166434,1,GAZE
166445,8,GAZE
166456,7,GAZE
166468,3,GAZE
166478,3,GAZE
166489,7,GAZE
166501,4,GAZE
166511,8,GAZE
166522,3,GAZE
166533,7,GAZE
166545,5,GAZE
166555,7,GAZE
166567,GAZE,-0
166577,8,GAZE
166589,GAZE,-0
166600,2,GAZE
166611,2,GAZE
166622,3,GAZE
166634,1,GAZE
166645,8,GAZE
166656,3,GAZE
166667,7,GAZE
166679,5,GAZE
166689,9,GAZE
166701,2,GAZE
166712,4,GAZE
166723,3,GAZE
166734,5,GAZE
166747,5,GAZE
166757,GAZE,-0
166767,3,GAZE
166778,9,GAZE
166789,7,GAZE
166800,4,GAZE
166812,GAZE,-0
166822,7,GAZE
166834,GAZE,-0
166846,4,GAZE
166855,7,GAZE
166867,3,GAZE
166878,9,GAZE
166889,6,GAZE
166901,3,GAZE
166911,8,GAZE
166922,9,GAZE
166934,4,GAZE
166945,6,GAZE
166958,GAZE,-0
166967,3,GAZE
166978,5,GAZE
166990,3,GAZE
167001,2,GAZE
167012,5,GAZE
167023,1,GAZE
167034,8,GAZE
167045,7,GAZE
167057,GAZE,-0
167068,GAZE,-0
167079,GAZE,-0
167089,9,GAZE
167101,5,GAZE
167113,1,GAZE
167123,1,GAZE
167134,2,GAZE
167145,7,GAZE
167157,8,GAZE
167167,7,GAZE
167178,6,GAZE
167189,5,GAZE
167201,GAZE,-0
167211,9,GAZE
167223,GAZE,-0
167234,3,GAZE
167245,7,GAZE
167256,1,GAZE
167267,5,GAZE
167278,5,GAZE
167289,9,GAZE
167301,2,GAZE
167312,9,GAZE
167323,3,GAZE
167335,7,GAZE
167346,8,GAZE
167357,6,GAZE
167367,9,GAZE
167379,GAZE,-0
167389,8,GAZE
167401,2,GAZE
167412,GAZE,-0
167423,3,GAZE
167434,5,GAZE
167446,1,GAZE
167456,5,GAZE
167467,7,GAZE
167479,2,GAZE
167490,GAZE,-0
167502,3,GAZE
167513,7,GAZE
167523,1,GAZE
