timestamp,type,data
125096,3,TRIAL_START,what to do when the oil runs dry
125106,9,TEXT_CHANGE
125106,9,CTX_POS
125106,9,KEY_POS
125118,GAZE,-0
125129,GAZE,-0
125140,2,GAZE
125154,1,GAZE
125162,1,GAZE
125172,6,GAZE
125183,7,GAZE
125194,9,GAZE
125208,GAZE,-0
125217,1,GAZE
125228,7,GAZE
125239,8,GAZE
125251,8,GAZE
125261,8,GAZE
125272,9,GAZE
125284,3,GAZE
125295,6,GAZE
125306,8,GAZE
125317,9,GAZE
125328,6,GAZE
125340,1,GAZE
125351,4,GAZE
125362,6,GAZE
125374,1,GAZE
125384,9,GAZE
125395,9,GAZE
125407,1,GAZE
125418,1,GAZE
125429,6,GAZE
125440,3,GAZE
125451,9,GAZE
125462,4,GAZE
125473,4,GAZE
125484,5,GAZE
125496,GAZE,-0
125506,9,GAZE
125518,GAZE,-0
125528,8,GAZE
125551,7,GAZE
125560,3,GAZE
125571,7,GAZE
125582,8,GAZE
125593,9,GAZE
125605,9,GAZE
125616,2,GAZE
125627,GAZE,-0
125638,3,GAZE
125649,9,GAZE
125661,7,GAZE
125673,9,GAZE
125684,7,GAZE
125696,3,GAZE
125707,GAZE,-0
125718,GAZE,-0
125729,3,GAZE
125740,2,GAZE
125751,1,GAZE
125762,7,GAZE
125773,6,GAZE
125785,1,GAZE
125796,6,GAZE
125807,4,GAZE
125818,6,GAZE
125829,6,GAZE
125840,7,GAZE
125852,GAZE,-0
125864,1,GAZE
125874,3,GAZE
125884,9,GAZE
125896,GAZE,-0
125907,5,GAZE
125918,4,GAZE
125929,6,GAZE
125940,5,GAZE
125951,7,GAZE
125962,5,GAZE
125973,8,GAZE
125985,2,GAZE
125996,2,GAZE
126007,1,GAZE
126018,7,GAZE
126029,3,GAZE
126040,6,GAZE
126051,4,GAZE
126063,GAZE,-0
126075,5,GAZE
126085,3,GAZE
126095,8,GAZE
126106,7,GAZE
126117,8,GAZE
126129,1,GAZE
126140,7,GAZE
126151,2,GAZE
126162,5,GAZE
126173,3,GAZE
126184,4,GAZE
126195,6,GAZE
126207,1,GAZE
126218,3,GAZE
126229,2,GAZE
126240,5,GAZE
126251,3,GAZE
126262,2,GAZE
126274,1,GAZE
126285,8,GAZE
126296,2,GAZE
126306,9,GAZE
126318,1,GAZE
126328,9,GAZE
126340,7,GAZE
126351,5,GAZE
126362,9,GAZE
126373,6,GAZE
126385,4,GAZE
126396,1,GAZE
126406,9,GAZE
126419,1,GAZE
126429,9,GAZE
126441,4,GAZE
126451,6,GAZE
126462,9,GAZE
126473,8,GAZE
126484,7,GAZE
126496,8,GAZE
126507,3,GAZE
126518,1,GAZE
126529,1,GAZE
126540,3,GAZE
126551,5,GAZE
126562,8,GAZE
126573,9,GAZE
126585,3,GAZE
126596,1,GAZE
126607,1,GAZE
126618,GAZE,0
126629,6,GAZE
126640,5,GAZE
126651,6,GAZE
126662,8,GAZE
126673,7,GAZE
126685,6,GAZE
126697,GAZE,0
126707,7,GAZE
126718,3,GAZE
126729,9,GAZE
126740,8,GAZE
126751,6,GAZE
126762,7,GAZE
126773,7,GAZE
126784,7,GAZE
126796,3,GAZE
126807,1,GAZE
126818,GAZE,0
126829,3,GAZE
126840,3,GAZE
126852,2,GAZE
126863,1,GAZE
126874,GAZE,0
126885,6,GAZE
126897,4,GAZE
126918,7,GAZE
126927,5,GAZE
126939,1,GAZE
126950,2,GAZE
126961,1,GAZE
126971,9,GAZE
126983,GAZE,0
126994,4,GAZE
127005,7,GAZE
127016,3,GAZE
127027,5,GAZE
127040,3,GAZE
127052,GAZE,0
127063,2,GAZE
127074,2,GAZE
127085,8,GAZE
127097,2,GAZE
127107,4,GAZE
127118,3,GAZE
127129,9,GAZE
127140,5,GAZE
127151,8,GAZE
127162,8,GAZE
127173,6,GAZE
127187,6,GAZE
127195,5,GAZE
127206,2,GAZE
127217,GAZE,0
127228,6,GAZE
127239,4,GAZE
127250,6,GAZE
127261,4,GAZE
127272,6,GAZE
127284,5,GAZE
127294,8,GAZE
127306,8,GAZE
127318,GAZE,0
127329,3,GAZE
127340,8,GAZE
127351,GAZE,0
127362,7,GAZE
127373,2,GAZE
127384,7,GAZE
127396,6,GAZE
127406,7,GAZE
127417,5,GAZE
127428,7,GAZE
127439,7,GAZE
127450,9,GAZE
127461,9,GAZE
127473,4,GAZE
127484,1,GAZE
127495,6,GAZE
127507,5,GAZE
127518,6,GAZE
127529,6,GAZE
127541,GAZE,0
127551,5,GAZE
127562,9,GAZE
127573,7,GAZE
127584,9,GAZE
127596,1,GAZE
127607,1,GAZE
127617,8,GAZE
127629,5,GAZE
127640,9,GAZE
127651,5,GAZE
127662,4,GAZE
127673,9,GAZE
127685,7,GAZE
127696,4,GAZE
127708,6,GAZE
127718,4,GAZE
127729,3,GAZE
127740,8,GAZE
127752,1,GAZE
127762,4,GAZE
127773,5,GAZE
127785,4,GAZE
127795,8,GAZE
127807,2,GAZE
127818,2,GAZE
127829,7,GAZE
127840,6,GAZE
127851,7,GAZE
127862,7,GAZE
127873,6,GAZE
127885,5,GAZE
127896,4,GAZE
127908,GAZE,-0
127918,4,GAZE
127929,6,GAZE
127941,3,GAZE
127951,6,GAZE
127963,GAZE,-0
127974,2,GAZE
127985,GAZE,-0
127995,9,GAZE
128007,GAZE,-0
128018,3,GAZE
128029,9,GAZE
128040,7,GAZE
128051,5,GAZE
128063,2,GAZE
128073,5,GAZE
128084,6,GAZE
128096,GAZE,-0
128106,7,GAZE
128119,1,GAZE
128129,4,GAZE
128141,2,GAZE
128151,GAZE,-0
128162,1,GAZE
128173,5,GAZE
128184,3,GAZE
128195,5,GAZE
128206,4,GAZE
128217,7,GAZE
128228,9,GAZE
128240,8,GAZE
128251,4,GAZE
128262,1,GAZE
128273,5,GAZE
128284,4,GAZE
128295,7,GAZE
128306,8,GAZE
128319,2,GAZE
128329,GAZE,-0
128340,2,GAZE
128351,1,GAZE
128362,4,GAZE
128373,6,GAZE
128385,GAZE,-0
128396,3,GAZE
128407,2,GAZE
128418,4,GAZE
128430,1,GAZE
128440,9,GAZE
128452,1,GAZE
128462,8,GAZE
128474,GAZE,-0
128485,3,GAZE
128496,4,GAZE
128507,2,GAZE
128519,5,GAZE
128529,9,GAZE
