timestamp,type,data
110121,7,GAZE
110133,2,GAZE
110143,4,GAZE
110155,1,GAZE
110167,3,GAZE
110176,7,GAZE
110188,3,GAZE
110200,1,GAZE
110210,7,GAZE
110221,4,GAZE
110232,4,GAZE
110243,7,GAZE
110254,9,GAZE
110266,3,GAZE
110277,7,GAZE
110288,5,GAZE
110299,7,GAZE
110311,8,GAZE
110322,5,GAZE
110333,1,GAZE
110344,3,GAZE
110355,4,GAZE
110367,6,GAZE
110377,6,GAZE
110388,3,GAZE
110401,8,GAZE
110411,4,GAZE
110422,3,GAZE
110432,3,GAZE
110442,5,GAZE
110453,GAZE,0
110464,7,GAZE
110475,4,GAZE
110486,4,GAZE
110498,4,GAZE
110508,6,GAZE
110520,GAZE,-0
110532,3,GAZE
110543,4,GAZE
110555,2,GAZE
110565,9,GAZE
110579,1,GAZE
110588,5,GAZE
110599,5,GAZE
110610,5,GAZE
110622,GAZE,-0
110633,7,GAZE
110644,2,GAZE
110654,8,GAZE
110666,5,GAZE
110678,4,GAZE
110687,9,GAZE
110699,2,GAZE
110710,2,GAZE
110721,7,GAZE
110733,GAZE,0
110743,7,GAZE
110755,1,GAZE
110766,1,GAZE
110778,6,GAZE
110788,7,GAZE
110799,GAZE,0
110810,5,GAZE
110821,8,GAZE
110832,9,GAZE
110843,4,GAZE
110854,9,GAZE
110866,3,GAZE
110866,3,CANDIDATES
110877,3,GAZE
110888,3,GAZE
110900,3,GAZE
110909,9,GAZE
110921,8,GAZE
110933,1,GAZE
110944,1,GAZE
110955,1,GAZE
110965,7,GAZE
110977,2,GAZE
110989,1,GAZE
110999,5,GAZE
111010,6,GAZE
111022,GAZE,0
111032,9,GAZE
111043,8,GAZE
111055,GAZE,0
111065,6,GAZE
111077,8,GAZE
111088,7,GAZE
111099,4,GAZE
111110,8,GAZE
111122,GAZE,0
111133,1,GAZE
111144,6,GAZE
111155,7,GAZE
111166,7,GAZE
111178,GAZE,0
111190,2,GAZE
111200,2,GAZE
111211,1,GAZE
111222,GAZE,0
111233,3,GAZE
111246,7,GAZE
111254,6,GAZE
111265,5,GAZE
111277,1,GAZE
111287,5,GAZE
111298,4,GAZE
111309,8,GAZE
111320,9,GAZE
111332,GAZE,0
111342,8,GAZE
111355,1,GAZE
111366,5,GAZE
111377,4,GAZE
111377,4,CANDIDATES
111388,2,GAZE
111401,5,GAZE
111410,7,GAZE
111421,4,GAZE
111432,9,GAZE
111443,8,GAZE
111454,6,GAZE
111465,6,GAZE
111476,8,GAZE
111487,6,GAZE
111499,GAZE,-0
111509,6,GAZE
111521,6,GAZE
111532,2,GAZE
111544,5,GAZE
111555,1,GAZE
111565,8,GAZE
111576,8,GAZE
111587,9,GAZE
111599,1,GAZE
111611,6,GAZE
111621,5,GAZE
111631,7,GAZE
111643,1,GAZE
111654,5,GAZE
111664,7,GAZE
111676,8,GAZE
111687,7,GAZE
111698,9,GAZE
111710,1,GAZE
111721,2,GAZE
111732,1,GAZE
111744,6,GAZE
111755,1,GAZE
111765,8,GAZE
111777,2,GAZE
111788,4,GAZE
111799,3,GAZE
111812,3,GAZE
111822,GAZE,-0
111833,2,GAZE
111844,2,GAZE
111844,2,CANDIDATES
111855,8,GAZE
111866,5,GAZE
111877,7,GAZE
111889,4,GAZE
111900,1,GAZE
111911,GAZE,-0
111922,GAZE,-0
111933,8,GAZE
111945,1,GAZE
111955,7,GAZE
111966,9,GAZE
111977,6,GAZE
111990,GAZE,-0
112000,GAZE,-0
112013,9,GAZE
112022,5,GAZE
112032,9,GAZE
112043,7,GAZE
112054,9,GAZE
112066,2,GAZE
112077,GAZE,-0
112088,5,GAZE
112099,8,GAZE
112110,8,GAZE
112121,3,GAZE
112133,GAZE,-0
112145,2,GAZE
112155,3,GAZE
112167,6,GAZE
112178,4,GAZE
112188,5,GAZE
112199,8,GAZE
112211,4,GAZE
112223,3,GAZE
112232,7,GAZE
112244,1,GAZE
112255,1,GAZE
112265,5,GAZE
112277,1,GAZE
112288,6,GAZE
112299,9,GAZE
112310,6,GAZE
112322,GAZE,-0
112332,6,GAZE
112345,1,GAZE
112355,4,GAZE
112366,4,GAZE
112378,GAZE,-0
112387,9,GAZE
112398,9,GAZE
112410,1,GAZE
112421,3,GAZE
112433,4,GAZE
112443,3,GAZE
112454,3,GAZE
112465,8,GAZE
112477,1,GAZE
112488,4,GAZE
112500,3,GAZE
112511,2,GAZE
112521,9,GAZE
112533,5,GAZE
112544,9,GAZE
112555,8,GAZE
112567,4,GAZE
112578,2,GAZE
112589,GAZE,0
112600,4,GAZE
112611,4,GAZE
112621,9,GAZE
112634,3,GAZE
112645,GAZE,0
112655,3,GAZE
112666,9,GAZE
112678,1,GAZE
112688,6,GAZE
112699,6,GAZE
112711,2,GAZE
112721,9,GAZE
112733,1,GAZE
112745,2,GAZE
112756,3,GAZE
112766,3,GAZE
112777,7,GAZE
112788,8,GAZE
112799,9,GAZE
112811,8,GAZE
112822,2,GAZE
112834,2,GAZE
112843,8,GAZE
112854,5,GAZE
112866,7,GAZE
112877,8,GAZE
112888,2,GAZE
112899,5,GAZE
112910,9,GAZE
112921,3,GAZE
112932,7,GAZE
112944,2,GAZE
112955,1,GAZE
112966,7,GAZE
112977,9,GAZE
112989,GAZE,0
112999,5,GAZE
113011,3,GAZE
113022,3,GAZE
113034,1,GAZE
113044,5,GAZE
113055,GAZE,0
113066,4,GAZE
113077,9,GAZE
113088,5,GAZE
113099,8,GAZE
113111,2,GAZE
113122,1,GAZE
113133,9,GAZE
113144,6,GAZE
113155,1,GAZE
113166,3,GAZE
113177,5,GAZE
113189,GAZE,0
113199,6,GAZE
113211,2,GAZE
113222,2,GAZE
113233,2,GAZE
113245,9,GAZE
113255,9,GAZE
113266,4,GAZE
113277,3,GAZE
113288,6,GAZE
113299,8,GAZE
113310,8,GAZE
113322,5,GAZE
113333,3,GAZE
113344,4,GAZE
113355,4,GAZE
113366,1,GAZE
113378,6,GAZE
113388,9,GAZE
113400,GAZE,0
113411,7,GAZE
113421,4,GAZE
113433,3,GAZE
113443,5,GAZE
113455,9,GAZE
113466,2,GAZE
113477,GAZE,0
113488,3,GAZE
113499,2,GAZE
113511,GAZE,0
113522,GAZE,0
113532,8,GAZE
113544,9,GAZE
113555,5,GAZE
113566,5,GAZE
113579,GAZE,0
113589,3,GAZE
113599,8,GAZE
113611,3,GAZE
113622,GAZE,0
113632,9,GAZE
113644,5,GAZE
113656,GAZE,0
113666,2,GAZE
113678,1,GAZE
113688,6,GAZE
113699,4,GAZE
113710,8,GAZE
113722,6,GAZE
113733,6,GAZE
113744,9,GAZE
113755,5,GAZE
113766,4,GAZE
113777,6,GAZE
113788,9,GAZE
113799,7,GAZE
113811,3,GAZE
113822,4,GAZE
113833,4,GAZE
113845,GAZE,-0
113857,5,GAZE
113867,2,GAZE
113877,8,GAZE
113888,8,GAZE
113899,2,GAZE
113910,5,GAZE
113921,6,GAZE
113932,8,GAZE
113944,5,GAZE
113955,6,GAZE
113965,9,GAZE
113976,7,GAZE
113988,3,GAZE
113999,4,GAZE
114011,GAZE,-0
114022,2,GAZE
114032,5,GAZE
114044,7,GAZE
114055,3,GAZE
114067,4,GAZE
114077,6,GAZE
114088,5,GAZE
114099,7,GAZE
114110,5,GAZE
114121,5,GAZE
114132,8,GAZE
114147,3,GAZE
114158,4,GAZE
114165,6,GAZE
114175,8,GAZE
114186,7,GAZE
114197,9,GAZE
114209,5,GAZE
114220,2,GAZE
114231,6,GAZE
114242,6,GAZE
114254,GAZE,-0
114264,7,GAZE
114278,6,GAZE
114289,GAZE,-0
114299,5,GAZE
114310,8,GAZE
114321,6,GAZE
114332,9,GAZE
114344,4,GAZE
114355,9,GAZE
114366,2,GAZE
114378,GAZE,-0
114388,7,GAZE
114399,8,GAZE
114412,9,GAZE
114421,7,GAZE
114432,3,GAZE
114444,3,GAZE
114454,5,GAZE
114465,2,GAZE
114477,5,GAZE
114488,GAZE,-0
114499,GAZE,-0
114510,GAZE,-0
114522,3,GAZE
114532,3,GAZE
114543,7,GAZE
114555,GAZE,-0
114566,2,GAZE
114577,6,GAZE
114588,8,GAZE
114599,8,GAZE
114609,8,GAZE
114621,9,GAZE
114633,4,GAZE
114644,2,GAZE
114654,8,GAZE
114667,2,GAZE
114678,1,GAZE
114687,8,GAZE
114699,9,GAZE
114709,5,GAZE
114721,2,GAZE
114732,8,GAZE
114742,4,GAZE
114754,4,GAZE
114765,GAZE,-0
114776,3,GAZE
114787,3,GAZE
114799,3,GAZE
114809,7,GAZE
114821,3,GAZE
114832,7,GAZE
114843,3,GAZE
114855,1,GAZE
114866,4,GAZE
114866,4,CANDIDATES
114878,2,GAZE
114889,2,GAZE
114899,7,GAZE
114910,2,GAZE
114921,5,GAZE
114933,GAZE,-0
114943,4,GAZE
114954,9,GAZE
114966,1,GAZE
114977,3,GAZE
114988,7,GAZE
114999,5,GAZE
115010,7,GAZE
115022,GAZE,-0
115032,6,GAZE
115044,8,GAZE
115055,2,GAZE
115066,2,GAZE
115078,1,GAZE
115088,4,GAZE
115100,1,GAZE
115110,6,GAZE
115121,2,GAZE
115132,8,GAZE
115143,6,GAZE
115154,1,GAZE
115164,8,GAZE
115177,GAZE,-0
115187,5,GAZE
115198,9,GAZE
115210,6,GAZE
115221,4,GAZE
115233,1,GAZE
115243,9,GAZE
115255,1,GAZE
115266,2,GAZE
115277,9,GAZE
115289,GAZE,-0
115301,3,GAZE
115310,9,GAZE
115322,1,GAZE
115333,5,GAZE
115344,GAZE,0
115355,1,GAZE
115355,1,CANDIDATES
115366,3,GAZE
115377,4,GAZE
115388,GAZE,0
115399,6,GAZE
115410,7,GAZE
115421,5,GAZE
115432,4,GAZE
115443,2,GAZE
115454,7,GAZE
115465,8,GAZE
115476,7,GAZE
115488,2,GAZE
115498,8,GAZE
115511,9,GAZE
115520,8,GAZE
115531,8,GAZE
115543,3,GAZE
115555,GAZE,0
115565,7,GAZE
115576,6,GAZE
115588,2,GAZE
115599,5,GAZE
115609,6,GAZE
115620,9,GAZE
115632,5,GAZE
115644,7,GAZE
115655,GAZE,0
115666,GAZE,0
115677,GAZE,0
115688,5,GAZE
115699,5,GAZE
115712,6,GAZE
115722,2,GAZE
115731,9,GAZE
115744,1,GAZE
115755,1,GAZE
115765,3,GAZE
115777,8,GAZE
115788,GAZE,-0
115798,9,GAZE
115809,8,GAZE
115821,5,GAZE
115832,5,GAZE
115844,3,GAZE
