timestamp,type,data
184842,TRIAL_START,most judges are very honest
184852,6,TEXT_CHANGE
184852,6,CTX_POS
184852,6,KEY_POS
184863,4,GAZE
184877,3,GAZE
184888,4,GAZE
184895,6,GAZE
184907,GAZE,-0
184917,7,GAZE
184929,2,GAZE
184939,9,GAZE
184951,8,GAZE
184962,8,GAZE
184973,9,GAZE
184985,3,GAZE
184995,8,GAZE
185007,GAZE,-0
185018,7,GAZE
185031,4,GAZE
185041,GAZE,-0
185052,1,GAZE
185063,7,GAZE
185074,5,GAZE
185085,2,GAZE
185096,5,GAZE
185107,7,GAZE
185118,8,GAZE
185130,GAZE,-0
185141,5,GAZE
185152,5,GAZE
185164,7,GAZE
185175,3,GAZE
185186,GAZE,-0
185197,3,GAZE
185208,8,GAZE
185219,5,GAZE
185231,5,GAZE
185241,9,GAZE
185252,5,GAZE
185264,2,GAZE
185275,GAZE,-0
185286,3,GAZE
185297,2,GAZE
185309,GAZE,-0
185319,4,GAZE
185331,GAZE,-0
185342,3,GAZE
185352,8,GAZE
185363,6,GAZE
185375,7,GAZE
185386,2,GAZE
185397,GAZE,-0
185407,8,GAZE
185420,GAZE,-0
185431,1,GAZE
185441,7,GAZE
185452,4,GAZE
185463,7,GAZE
185474,6,GAZE
185485,9,GAZE
185496,6,GAZE
185507,9,GAZE
185519,1,GAZE
185530,3,GAZE
185541,7,GAZE
185552,9,GAZE
185564,8,GAZE
185575,1,GAZE
185586,1,GAZE
185597,2,GAZE
185608,7,GAZE
185619,8,GAZE
185630,4,GAZE
185643,2,GAZE
185652,8,GAZE
185663,2,GAZE
185674,7,GAZE
185685,4,GAZE
185696,6,GAZE
185707,8,GAZE
185719,1,GAZE
185729,7,GAZE
185741,2,GAZE
185752,5,GAZE
185763,3,GAZE
185775,4,GAZE
185786,9,GAZE
185797,9,GAZE
185808,3,GAZE
185819,5,GAZE
185830,3,GAZE
185841,8,GAZE
185853,5,GAZE
185863,8,GAZE
185875,GAZE,0
185886,6,GAZE
185896,8,GAZE
185907,9,GAZE
185919,1,GAZE
185930,5,GAZE
185941,3,GAZE
185952,9,GAZE
185963,9,GAZE
185975,GAZE,0
185985,8,GAZE
185998,3,GAZE
186008,1,GAZE
186019,2,GAZE
186030,4,GAZE
186041,5,GAZE
186052,7,GAZE
186065,1,GAZE
186074,4,GAZE
186085,7,GAZE
186096,4,GAZE
186107,8,GAZE
186120,GAZE,0
186130,1,GAZE
186141,GAZE,0
186153,1,GAZE
186163,4,GAZE
186175,GAZE,0
186185,4,GAZE
186198,4,GAZE
186207,9,GAZE
186218,7,GAZE
186230,GAZE,0
186240,6,GAZE
186252,5,GAZE
186263,3,GAZE
186275,6,GAZE
186285,5,GAZE
186296,6,GAZE
186307,4,GAZE
186318,5,GAZE
186330,3,GAZE
186341,3,GAZE
186352,4,GAZE
186364,1,GAZE
186374,8,GAZE
186386,4,GAZE
186397,1,GAZE
186408,1,GAZE
186419,6,GAZE
186431,GAZE,0
186441,8,GAZE
186452,6,GAZE
186464,1,GAZE
186475,8,GAZE
186486,GAZE,0
186497,8,GAZE
186508,4,GAZE
186519,9,GAZE
186530,3,GAZE
186541,3,GAZE
186552,5,GAZE
186564,3,GAZE
186575,4,GAZE
186586,2,GAZE
186597,5,GAZE
186608,GAZE,0
186619,6,GAZE
186630,3,GAZE
186641,3,GAZE
186653,2,GAZE
186663,8,GAZE
186674,8,GAZE
186687,GAZE,0
186697,GAZE,0
186708,1,GAZE
186719,9,GAZE
186731,3,GAZE
186741,5,GAZE
186752,5,GAZE
186763,9,GAZE
186775,GAZE,0
186785,9,GAZE
186797,2,GAZE
186808,5,GAZE
186820,1,GAZE
186830,7,GAZE
186842,GAZE,0
186852,8,GAZE
186864,5,GAZE
186875,5,GAZE
186887,6,GAZE
186897,5,GAZE
186907,8,GAZE
186918,8,GAZE
186930,4,GAZE
186941,6,GAZE
186952,6,GAZE
186964,GAZE,0
186974,4,GAZE
186985,5,GAZE
186996,5,GAZE
187007,8,GAZE
187018,9,GAZE
187030,6,GAZE
187041,5,GAZE
187052,3,GAZE
187063,5,GAZE
187075,4,GAZE
187086,3,GAZE
187098,GAZE,0
187108,4,GAZE
187119,6,GAZE
187130,7,GAZE
187141,2,GAZE
187152,9,GAZE
187164,5,GAZE
187175,2,GAZE
187186,1,GAZE
187197,3,GAZE
187208,2,GAZE
187219,4,GAZE
187230,8,GAZE
187241,6,GAZE
187253,GAZE,0
187264,7,GAZE
187275,3,GAZE
187286,2,GAZE
187297,6,GAZE
187309,8,GAZE
187319,9,GAZE
187330,3,GAZE
187341,5,GAZE
187352,8,GAZE
187363,9,GAZE
187375,4,GAZE
187386,GAZE,0
187397,1,GAZE
187408,3,GAZE
187419,4,GAZE
187430,3,GAZE
187441,6,GAZE
187452,5,GAZE
187464,GAZE,0
187474,7,GAZE
187486,3,GAZE
187496,9,GAZE
187509,GAZE,0
187521,3,GAZE
187530,3,GAZE
187541,3,GAZE
187552,GAZE,0
187563,3,GAZE
187574,3,GAZE
187585,4,GAZE
187596,4,GAZE
187607,2,GAZE
187618,4,GAZE
187629,8,GAZE
187640,7,GAZE
187652,5,GAZE
187663,7,GAZE
187674,7,GAZE
187686,1,GAZE
187696,6,GAZE
187707,7,GAZE
187719,1,GAZE
187731,4,GAZE
187741,5,GAZE
187752,4,GAZE
187763,7,GAZE
187775,1,GAZE
187786,3,GAZE
