21637,qKey,106.528,491.722,92.7778,92.7778
21637,wKey,222.5,491.722,92.7778,92.7778
21637,eKey,338.472,491.722,92.7778,92.7778
21637,rKey,454.444,491.722,92.7778,92.7778
21637,tKey,570.417,491.722,92.7778,92.7778
21637,yKey,686.389,491.722,92.7778,92.7778
21637,uKey,802.361,491.722,92.7778,92.7778
21637,iKey,918.333,491.722,92.7778,92.7778
21637,oKey,1034.31,491.722,92.7778,92.7778
21637,pKey,1150.28,491.722,92.7778,92.7778
21638,aKey,160.954,607.694,92.7778,92.7778
21638,sKey,276.926,607.694,92.7778,92.7778
21638,dKey,392.898,607.694,92.7778,92.7778
21638,fKey,508.87,607.694,92.7778,92.7778
21638,gKey,624.842,607.694,92.7778,92.7778
21638,hKey,740.815,607.694,92.7778,92.7778
21638,jKey,856.787,607.694,92.7778,92.7778
21644,kKey,972.759,607.694,92.7778,92.7778
21644,lKey,1088.73,607.694,92.7778,92.7778
21644,zKey,215.379,723.667,92.7778,92.7778
21644,xKey,331.352,723.667,92.7778,92.7778
21644,cKey,447.324,723.667,92.7778,92.7778
21644,vKey,563.296,723.667,92.7778,92.7778
21644,bKey,679.268,723.667,92.7778,92.7778
21645,nKey,795.24,723.667,92.7778,92.7778
21645,mKey,911.213,723.667,92.7778,92.7778
21645,'Key,1027.18,723.667,92.7778,92.7778
21645,candidate0,164.506,265.34,225.977,92.7778
21645,candidate1,402.253,265.34,225.977,92.7778
21645,candidate2,640,265.34,225.977,92.7778
21645,candidate3,877.747,265.34,225.977,92.7778
21645,candidate4,1115.49,265.34,225.977,92.7778
21645,punctKey,1143.16,723.667,92.7778,92.7778
21645,spaceKey,675.708,897.625,904.583,92.7778
21645,backspaceKey,1092.29,370.997,208.75,92.7778
21645,modeKey,860.347,370.997,208.75,92.7778
21645,pEyeGesture,185.556,46.3889,92.7778,92.7778
21645,pEyeKeystroke,185.556,46.3889,92.7778,92.7778
21645,pEyeSelectCandidate,185.556,46.3889,225.977,92.7778
21645,pEyeDot,185.556,46.3889,92.7778,92.7778
21645,pEyeComma,324.722,185.556,92.7778,92.7778
21645,pEyeExclamation,185.556,324.722,92.7778,92.7778
21645,pEyeQuestion,46.3889,185.556,92.7778,92.7778
21645,pEyeSpace,185.556,46.3889,904.583,92.7778
21645,pEyeBackspaceWord,200,60.8333,208.75,92.7778
21645,pEyeBackspaceChar,200,339.167,208.75,92.7778
21645,pEyeMode,200,60.8333,208.75,92.7778
